"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP11",1,1,1,1,1,1
"MYOM1",0,0,0,0,0,0
"GPAM",0,0,0,0,0,0
"COL10A1",1,1,1,1,1,1
"NEK2",1,1,1,1,1,1
"TNS1",0,0,0,0,0,0
"FHL1",0,0,0,0,0,0
"COL11A1",1,1,1,1,1,1
"SIK2",0,0,0,0,0,0
"LYVE1",0,0,0,0,0,0
"KIF4A",1,1,1,1,1,1
"PKMYT1",1,1,1,1,1,1
"SORBS1",0,0,0,0,0,0
"KLB",0,0,0,0,0,0
"NPR1",0,0,0,0,0,0
"PLPP4",1,1,1,1,1,1
"HSPB7",0,0,0,0,0,0
"CAV1",0,0,0,0,0,0
"SLC2A4",0,0,0,0,0,0
"RDH5",0,0,0,0,0,0
"GYG2",0,0,0,0,0,0
"PCLAF",1,1,1,1,1,1
"KCNIP2",0,0,0,0,0,0
"SPTBN1",0,0,0,0,0,0
"AOC3",0,0,0,0,0,0
"IQGAP3",1,1,1,1,1,1
"ACVR1C",0,0,0,0,0,0
"GSN",0,0,0,0,0,0
"IBSP",1,1,1,1,1,1
"KLHL31",0,0,0,0,0,0
"UBE2C",1,1,1,1,1,1
"CLEC3B",0,0,0,0,0,0
"ASF1B",1,1,1,1,1,1
"LVRN",0,0,0,0,0,0
"ACACB",0,0,0,0,0,0
"CFL2",0,0,0,0,0,0
"CRHBP",0,0,0,0,0,0
"UBE2T",1,1,1,1,1,1
"TPX2",1,1,1,1,1,1
"SPC25",1,1,1,1,1,1
"CDC25C",1,1,1,1,1,1
"NUF2",1,1,1,1,1,1
"NAALAD2",0,0,0,0,0,0
"HSD17B6",1,1,1,1,1,1
"CAT",0,0,0,0,0,0
"NIPSNAP3B",0,0,0,0,0,0
"EBF1",0,0,0,0,0,0
"AC009779.3",0,0,0,0,0,0
"ACO1",0,0,0,0,0,0
"PYGM",0,0,0,0,0,0
"MMP13",1,1,1,1,1,1
"ACSM5",0,0,0,0,0,0
"UHRF1",1,1,1,1,1,1
"NUSAP1",1,1,1,1,1,1
"CDK1",1,1,1,1,1,1
"MMD",0,0,0,0,0,0
"HJURP",1,1,1,1,1,1
"PPP1R12B",0,0,0,0,0,0
"ITIH5",0,0,0,0,0,0
"FAM13A",0,0,0,0,0,0
"LIPE",0,0,0,0,0,0
"ITSN1",0,0,0,0,0,0
"DTL",1,1,1,1,1,1
"SYNE3",0,0,0,0,0,0
"TROAP",1,1,1,1,1,1
"SLC16A7",0,0,0,0,0,0
"PBK",1,1,1,1,1,1
"LPL",0,0,0,0,0,0
"CKAP2L",1,1,1,1,1,1
"CEP55",1,1,1,1,1,1
"INHBA",1,1,1,1,1,1
"CAV2",0,0,0,0,0,0
"PDE2A",0,0,0,0,0,0
"HSD17B13",0,0,0,0,0,0
"SH3D19",0,0,0,0,0,0
"KIF20A",1,1,1,1,1,1
"ITGA7",0,0,0,0,0,0
"PLK1",1,1,1,1,1,1
"FZD4",0,0,0,0,0,0
"GPR146",0,0,0,0,0,0
"CENPF",1,1,1,1,1,1
"MTURN",0,0,0,0,0,0
"SLC24A2",1,1,1,1,1,1
