"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP11",17634.6191501331,6.23685275694386,0.150469877359641,41.449178176952,0,0
"MYOM1",585.166176486566,-4.90136471115557,0.129342868125677,-37.8943561572574,0,0
"GPAM",4842.81116779269,-4.57205277086525,0.112802511376086,-40.5314803286774,0,0
"COL10A1",8705.95835180068,7.09027930705491,0.165505103279293,42.8402458085533,0,0
"NEK2",1496.29790974102,4.23309221138042,0.11784666075518,35.9203407568284,1.47062512180165e-282,5.50013795553818e-279
"TNS1",15197.9722259694,-3.22661557100647,0.0926895607314883,-34.8109921499534,1.65850125454119e-265,5.16899557665339e-262
"FHL1",9078.7118072235,-5.11769923781751,0.149537294743108,-34.2235644065199,1.07901189840466e-256,2.8825032143096e-253
"COL11A1",12107.4780923552,6.14233331850263,0.186733585510385,32.8935649241365,2.7165693995093e-237,6.349980971353e-234
"SIK2",3767.66153924114,-2.55593102370572,0.0794010998748569,-32.1901211410685,2.42650722251543e-227,5.04174278455984e-224
"LYVE1",708.275296898926,-4.97381143837051,0.155258073249906,-32.0357668638884,3.46547697502923e-225,6.48044194330466e-222
"KIF4A",1588.1062579049,3.77713717157823,0.118219320996426,31.9502526299608,5.35907085791876e-224,9.11042045846188e-221
"PKMYT1",1146.1049392905,3.90767116160424,0.122498037299247,31.8998675224345,2.68137106049389e-223,4.17846990260298e-220
"SORBS1",6542.51985981271,-3.77715393576792,0.119087909053708,-31.717358762798,8.95520602927324e-221,1.28817194421084e-217
"KLB",362.44520056129,-4.81735200931124,0.152550776397041,-31.5786790673107,7.2454647540608e-219,9.67787077863836e-216
"NPR1",1188.54191178167,-3.70540804836761,0.118095016050153,-31.3764981139763,4.2342213377758e-216,5.27866260109383e-213
"PLPP4",467.731517065457,5.00557899558713,0.159790634775856,31.3258596325663,2.07467056109689e-215,2.42477121828199e-212
"HSPB7",994.516919671215,-5.23685581762009,0.167222074913558,-31.316773340644,2.75849850342938e-215,3.03434835377232e-212
"CAV1",8443.29249699078,-3.41800731964777,0.11003487749314,-31.0629447455046,7.62880268649789e-212,7.92547834652836e-209
"SLC2A4",308.893979385329,-4.77700488647828,0.15382588135523,-31.054623866882,9.88120670426581e-212,9.72518765104056e-209
"RDH5",152.497383651326,-4.40891790715375,0.142240337503859,-30.996255946272,6.05459425493981e-211,5.66104562836872e-208
"GYG2",2272.48853234781,-4.23894055596472,0.137630509215647,-30.7994250702285,2.66730399460086e-208,2.3751706999541e-205
"PCLAF",1125.58071668496,3.3055845347298,0.107577508678342,30.7274687371088,2.44597072134388e-207,2.07907511314229e-204
"KCNIP2",990.132073090136,-5.25302588271685,0.170992917746185,-30.7207219571177,3.01002958788427e-207,2.44728492580156e-204
"SPTBN1",22553.5956127175,-2.15635999492479,0.0703458674144163,-30.6536840639323,2.36020904669333e-206,1.83899621554856e-203
"AOC3",4826.82393744136,-4.08127344118967,0.1333498049798,-30.6057698532662,1.02564868800254e-205,7.67185218625897e-203
"IQGAP3",2266.86795578272,3.63579246589058,0.121016133529502,30.0438657214596,2.6257327346301e-198,1.88850777452242e-195
"ACVR1C",562.810861320765,-5.31160167744446,0.177043008891193,-30.0017589551298,9.30845321929327e-198,6.44696574817719e-195
"GSN",37917.6400961205,-2.60844826297874,0.0869572722455718,-29.9968961263222,1.07721733716735e-197,7.19427293036768e-195
"IBSP",161.230790797287,7.15041892403997,0.238483669638161,29.9828450932885,1.6425293313194e-197,1.05914822398872e-194
"KLHL31",283.141056055587,-3.9988377216614,0.134142376892016,-29.8103985803118,2.86449079876374e-195,1.78553259789606e-192
"UBE2C",2304.41822671002,4.14027190215978,0.139015105500897,29.7828922061499,6.50720060035629e-195,3.92531132989235e-192
"CLEC3B",879.519092610523,-3.94749662635624,0.132916446690784,-29.6990833311974,7.89077696670071e-194,4.61117278991573e-191
"ASF1B",1563.00408057672,3.03346159116211,0.102270286845342,29.6612211105797,2.43060155009102e-193,1.37599653184246e-190
"LVRN",147.957174968615,-5.17284718223457,0.174403365335932,-29.660248655585,2.50181187607721e-193,1.37599653184246e-190
"ACACB",3748.35240058441,-3.78240403748614,0.128451179973256,-29.446238160472,1.40661943351085e-190,7.51536668761512e-188
"CFL2",1307.34770741785,-2.29790262860879,0.0781714855495434,-29.3956627848966,6.23937463017194e-190,3.24100848845043e-187
"CRHBP",62.0872525081432,-3.97616139168856,0.135286777339459,-29.3906135535452,7.23886263807676e-190,3.65856030627123e-187
"UBE2T",1365.22434178636,3.2260333282246,0.109894305068491,29.3557825968688,2.0160873367208e-189,9.9212718938629e-187
"TPX2",4531.06584615335,3.50772726158693,0.119510533805014,29.3507789640528,2.33544343051555e-189,1.11981518334976e-186
"SPC25",425.220131957851,2.82685740688145,0.096423355315749,29.3171441465046,6.27132835677193e-189,2.93184600679088e-186
