,log2FoldChange
CDH3,1
KRT80,1
ETV4,1
FOXQ1,1
ESM1,1
CLDN1,1
CEMIP,1
MTHFD1L,1
AJUBA,1
GRIN2D,1
WNT2,1
C6ORF223,1
NFE2L3,1
PHLPP2,0
TRIB3,1
PDX1,1
PEX26,0
INHBA,1
CPNE7,1
CST1,1
CLEC3B,0
EPHX4,1
BEST4,0
LRP8,1
APPL2,0
UGP2,0
SIM2,1
EPOP,1
KLK6,1
SLCO4A1,1
GLTP,0
COL11A1,1
COL10A1,1
TRIP13,1
MDFI,1
MMP7,1
NOTUM,1
SLC25A34,0
LARGE2,1
OTX1,1
SLC51A,0
PRSS22,1
SPTBN2,1
ENC1,1
SLC22A5,0
DDN,1
GTF2IRD1,1
SLC36A1,0
CNNM2,0
IQANK1,1
SLC7A5,1
RETSAT,0
PDCD4,0
PLEKHN1,1
MSX2,1
TEAD4,1
KIAA1257,1
PPM1H,1
KRT23,1
CIPC,0
ETFDH,0
CBX2,1
PRKG2,0
TEX11,0
KIAA1549,1
SALL4,1
CGREF1,1
FUT1,1
RHPN1,1
TESC,1
TRIM29,1
IL6R,0
DDX31,1
SH3TC2,1
USP2,0
STBD1,0
VWA2,1
STRA6,1
LEMD1,1
ABCG2,0
C2ORF88,0
ZNF575,0
SPATA12,1
PLPP1,0
EVA1A,1
AUNIP,1
PRDX6,0
SPPL2A,0
MMP11,1
OSBPL3,1
CNTD2,1
NEBL,1
TMEM132A,1
CCNO,1
CBX8,1
FUCA1,0
DKC1,1
PRR7,1
TAT,0
RUVBL1,1
TWNK,1
BYSL,1
ORC6,1
IGFL4,1
GRAMD2B,0
MIER3,0
NKD2,1
TTC26,1
GNA11,0
TGFBI,1
CPT2,0
MXI1,0
PLCD1,0
TNFRSF12A,1
SLC39A10,1
CDKN2B,0
S100A11,1
CA7,0
HJURP,1
ACOX1,0
FJX1,1
GTPBP4,1
PUS7,1
KCNIP4,0
DHRS7C,0
C2CD4A,1
TMEM206,1
MCIDAS,1
PDCD2L,1
HTR1D,1
CNNM4,0
SULT1A2,0
MAPK15,1
ANLN,1
CA2,0
GAD1,1
POLR1B,1
ZC3HAV1L,1
NOP2,1
CSRP1,0
TP53INP2,0
SFTA2,1
NAAA,0
ENTPD5,0
AP3S2,0
CD3EAP,1
APLN,1
HILPDA,1
CASP7,0
TROAP,1
SLC6A6,1
PLCE1,0
C2ORF70,1
CDC25B,1
GLP2R,0
CTHRC1,1
PLAC9,0
ENDOD1,0
KLK7,1
MRGBP,1
SMPDL3A,0
GCNT2,0
XRCC2,1
KAT2A,1
CLDN2,1
CLDN23,0
RNF152,0
SLC25A23,0
PTPN21,0
CCNYL1,0
POU5F1B,1
UBE2C,1
TCN1,1
PSAT1,1
CDC14A,0
SLC20A1,0
TPX2,1
DPEP1,1
DAO,0
CEP72,1
EGFL6,1
MET,1
