"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDH3",3287.87311428945,6.00480662475516,0.146701666113771,40.9320956184525,0,0
"KRT80",1374.86757466414,6.78669803631069,0.180896328909242,37.5170578487288,4.85542950546248e-308,4.36575943983659e-304
"ETV4",3862.16735267073,5.36405948643504,0.144571804322616,37.1030818323675,2.50566904299145e-301,1.50198154667051e-297
"FOXQ1",1435.60592208628,6.28809515125868,0.196220450173932,32.0460744315124,2.48995651274551e-225,1.11942219921756e-221
"ESM1",232.035000989289,5.75078794985771,0.180983713690984,31.7751682324121,1.42644166608054e-221,5.13034009622528e-218
"CLDN1",3183.0339527806,4.8148123450821,0.160231231409971,30.0491502356542,2.23983747147904e-198,6.71316620826794e-195
"CEMIP",4858.05466634164,5.25082940177165,0.179859382563775,29.1940811033852,2.30550428957617e-187,5.92284051992117e-184
"MTHFD1L",1677.04990386794,2.41511255785768,0.0839492915230113,28.7687068472242,5.28544007246667e-182,1.1881008602896e-178
"AJUBA",810.641287676244,3.00457691109074,0.105018875877372,28.6098749961778,5.06362079374871e-180,1.01176769704426e-176
"GRIN2D",1355.70216613661,4.88311279427154,0.174394242634018,28.0004243289109,1.60555942667765e-172,2.88727751699441e-169
"WNT2",298.13049937979,5.48349577959634,0.196276747953853,27.9375720087107,9.33368764401307e-172,1.52588822638443e-168
"C6ORF223",1269.85424960007,4.87826495252039,0.183428187398316,26.5949580689427,7.76367090973588e-156,1.1634507830815e-152
"NFE2L3",4356.9385623973,2.61997786009851,0.102300753305604,25.6105431821389,1.16413466215588e-144,1.61035643304225e-141
"PHLPP2",861.428278735966,-2.75651720567009,0.108297468383835,-25.4532007701258,6.50637914254668e-143,8.3574440086012e-140
"TRIB3",2837.89515137916,3.88727479506273,0.153261077040188,25.3637444688152,6.33858716509668e-142,7.59912086599557e-139
"PDX1",616.13414347319,4.74509068128675,0.187277673124381,25.3371937088053,1.24382230251291e-141,1.3979785291306e-138
"PEX26",2668.98931177165,-1.87100329791755,0.0739753746947495,-25.2922449617595,3.88772500679642e-141,4.11252698807176e-138
"INHBA",1177.19433384407,5.22953954421624,0.209584221433064,24.9519716153175,2.03271031580929e-137,2.03079053384436e-134
"CPNE7",1075.1742027162,5.73289364641003,0.231009117443675,24.8167419097986,5.91390350426228e-136,5.59735403774466e-133
"CST1",960.01304133139,8.49665806775388,0.34335539902492,24.7459573721082,3.4270660878413e-135,3.08144647288251e-132
"CLEC3B",197.599138936665,-4.18735864634404,0.170504868227049,-24.5585870355798,3.50158119620686e-133,2.99852069768514e-130
"EPHX4",256.707207084922,4.59067259578978,0.187383577753051,24.4987989387188,1.52132681244871e-132,1.24354636673932e-129
"BEST4",303.684468605989,-5.86436385897868,0.239413350755904,-24.4947236253243,1.68132243562655e-132,1.31457484173357e-129
"LRP8",764.091832790719,2.97459786917905,0.122240415878544,24.3339966393322,8.5643093131571e-131,6.41716559910434e-128
"APPL2",2282.33213036921,-1.93565458584428,0.0796305631673491,-24.3079354063637,1.61594628146472e-130,1.1623824791832e-127
"UGP2",4095.64265124492,-2.14968514916749,0.0888412572881399,-24.1969239831376,2.39694322218399e-129,1.65785499863595e-126
"SIM2",494.487729228109,4.43646778997734,0.184085311524484,24.1000640042227,2.4958495565311e-128,1.66232824352218e-125
"EPOP",482.488798134525,3.67868270772816,0.153698413377896,23.934422138005,1.34257989879388e-126,8.62271940000366e-124
"KLK6",882.327885365507,9.50701351868338,0.397880707643626,23.8941304165937,3.52478491311683e-126,2.18573127905448e-123
"SLCO4A1",2569.68938031818,3.50992612518649,0.148049686252624,23.7077579428122,2.99904281408529e-124,1.79772623085653e-121
"GLTP",1460.62399001118,-1.59725922935537,0.0674105764339267,-23.6944900021875,4.10956058018779e-124,2.3839428359199e-121
"COL11A1",1314.05076480242,6.47282068247166,0.2748072070037,23.5540426797631,1.14114805315016e-122,6.41289544993728e-120
"COL10A1",827.031582228836,7.82817224175043,0.333213956574911,23.4929302548303,4.81723806564334e-122,2.62510279195346e-119
"TRIP13",933.139649193282,2.33761582999297,0.100081474794149,23.3571281278683,1.16646258284955e-120,6.16955783158337e-118
"MDFI",505.295283393034,3.65968858951357,0.159196988310713,22.988428539683,6.08524378998236e-117,3.12659825929293e-114
"MMP7",2384.8647183627,7.17683820451089,0.312592486024743,22.9590873913163,1.19557889948295e-116,5.97224870816719e-114
"NOTUM",2592.61530649792,9.49452879171775,0.41562213506476,22.8441365141401,1.67130737310956e-115,8.1230055380079e-113
"SLC25A34",92.0297684480182,-4.07520568647218,0.178566518329417,-22.8217793828197,2.7872656386537e-115,1.31903678894499e-112
"LARGE2",1411.4779114502,4.52550581524269,0.199106728881311,22.7290450738126,2.31311296378643e-114,1.06658231866081e-111
"OTX1",102.502179488934,5.78797447189173,0.255296759141055,22.6715548264903,8.55198073964817e-114,3.84475674102733e-111
"SLC51A",339.003652512821,-4.335223707248,0.19122802731504,-22.6704409814672,8.77111416651344e-114,3.84709624527832e-111
"PRSS22",845.991125679787,4.11648524373432,0.182167445308358,22.5972606508604,4.61103415464265e-113,1.97429112387949e-110
"SPTBN2",1363.76583074338,3.15215110812802,0.139934261610095,22.5259423379173,2.31190341510434e-112,9.66859514274914e-110
"ENC1",5602.5321525945,2.05726328196948,0.091356074140235,22.5191734794941,2.69344904097966e-112,1.10082486599857e-109
"SLC22A5",931.75616147587,-1.96008490779411,0.0871571517841506,-22.4890885907834,5.30785847869557e-112,2.12113820049739e-109
"DDN",113.981533557158,4.69307701886782,0.208972516239556,22.4578672033977,1.07212249934573e-111,4.19129976211613e-109
"GTF2IRD1",2443.43893379151,2.18132799504818,0.0984327796019266,22.1605851614647,8.24721155509901e-109,3.1555235190499e-106
"SLC36A1",1004.69038199598,-2.07941858347599,0.09432840923464,-22.0444572356084,1.07967242334959e-107,4.04494774772826e-105
"CNNM2",622.545693020102,-1.75529569202996,0.079695076248608,-22.0251460272694,1.65375614278148e-107,6.06928504400801e-105
"IQANK1",1211.20913058906,2.8833963867175,0.131004846589692,22.0098451452588,2.31782293972861e-107,8.33628198502792e-105
"SLC7A5",6754.68595472108,3.12755023273378,0.144132025854889,21.6992040053788,2.08744926438944e-104,7.36050982774811e-102
"RETSAT",4593.42736193674,-1.92732290665567,0.0890964445759429,-21.6318722461801,9.00532753163523e-104,3.11428471156532e-101
"PDCD4",3700.10997112709,-2.06934862931801,0.096433824306514,-21.4587427616747,3.78397685394996e-102,1.28391048612419e-99
"PLEKHN1",150.075611479123,3.44662183334892,0.162044704084879,21.2695740525008,2.1724417850613e-100,7.23463344828839e-98
"MSX2",499.809513066172,4.8390870901191,0.22874053215849,21.155354691429,2.4632994647864e-99,8.05409350459162e-97
"TEAD4",1015.13407594639,2.32133031548736,0.109766063044078,21.1479782649687,2.88023707164483e-99,9.24916129631946e-97
"KIAA1257",156.1185301533,3.48964308251282,0.165023436080366,21.1463484544908,2.98146623527865e-99,9.40626444017824e-97
"PPM1H",1536.56605537154,2.31044018114738,0.110040442826978,20.9962821103893,7.09234119504816e-98,2.19899261569916e-95
"KRT23",2147.07013512715,7.14701208884692,0.341913739059994,20.9029684168172,5.03166753485181e-97,1.53363520812271e-94
"CIPC",1019.13442630464,-1.37371722857505,0.0658929619402087,-20.8477079816439,1.59900535114233e-96,4.79248553826542e-94
"ETFDH",759.653898294562,-1.89788201582564,0.0913523586182,-20.7754024584925,7.22560239918268e-96,2.11305810510273e-93
"CBX2",541.503491000126,3.62579909838631,0.174526964920837,20.775008034036,7.2851917097464e-96,2.11305810510273e-93
"PRKG2",71.5543788056049,-4.13031961671443,0.199511073226416,-20.7022074009251,3.30863822151625e-95,9.44432399008361e-93
"TEX11",28.8406436581535,-4.15301675546216,0.2007679973961,-20.6856511462261,4.66434312523931e-95,1.31060753783091e-92
"KIAA1549",907.534156757497,2.2820931686217,0.110504167785539,20.6516479364894,9.43461135474552e-95,2.6101940921906e-92
"SALL4",121.604209670369,4.79577347481288,0.232724018099954,20.6071273346317,2.36879346230894e-94,6.45424436859117e-92
"CGREF1",920.019003141563,3.52943861527969,0.172983514385737,20.4033235641713,1.56227842052285e-92,4.19320191586006e-90
"FUT1",308.987784781473,2.87876260964213,0.141763862886951,20.3067449702453,1.120912244393e-91,2.96431836631165e-89
"RHPN1",983.723879229006,3.36150760431479,0.165887892764954,20.2637308141451,2.68802179371598e-91,7.00560810382529e-89
"TESC",1981.90796714867,4.66469454246433,0.230784536921818,20.2123357339343,7.62527320906857e-91,1.95893268740972e-88
"TRIM29",3086.15961460896,4.42502687716016,0.219997617965613,20.1139763151973,5.56765435091358e-90,1.41018490411942e-87
"IL6R",615.368300116997,-2.8094183991711,0.14066690230271,-19.9721352584088,9.62495311903057e-89,2.40396572138232e-86
"DDX31",723.826820231606,1.12357293826231,0.0562904139461224,19.960289141553,1.22004332152381e-88,3.00548480150175e-86
"SH3TC2",368.048836182712,3.37594158294441,0.169352874344972,19.9343624724527,2.04899081682704e-88,4.97932457554064e-86
"USP2",197.283709527286,-4.07319367666416,0.204514997678295,-19.9163568584411,2.93590243600756e-88,7.03951113422987e-86
