,log2FoldChange
PRH1,0
AGFG2,0
CA9,1
NUCB2,0
CAB39L,0
CCL28,0
MMP11,1
NOSTRIN,0
GPD1L,0
EMP1,0
CST4,0
IL11,1
CLEC3B,0
COLGALT1,1
MPO,0
COL10A1,1
GPD1,0
PLIN1,0
ETFDH,0
BPIFA2,0
HTN1,0
UBL3,0
LPO,0
HOXC6,1
OMG,0
SLC25A4,0
GPRIN1,1
CDCA5,1
PFKFB1,0
SH3BGRL2,0
FAM166B,0
ZG16B,0
GRIN2D,1
NDRG2,0
MFAP2,1
FAM107A,0
SUCLG2,0
CLCNKB,0
MYBL2,1
NRG2,0
EME1,1
NEK10,0
INHBA,1
HOXA10,1
PLIN4,0
HOXC9,1
KIF2C,1
LAMC2,1
HOXB9,1
MMP13,1
HOXD10,1
NETO2,1
TMEM232,0
MMP9,1
GJC1,1
HOXC8,1
IGF2BP1,1
ARTN,1
FNDC5,0
MPC1,0
CALML6,0
THRSP,0
CDNF,0
COQ10A,0
SPOCD1,1
GNA14,0
SMCO1,0
AUNIP,1
CIDEC,0
HMGA2,1
PIFO,0
CST5,0
PLAC1,1
ZNF114,1
NFIX,0
MMP12,1
SLC2A4,0
ASB8,0
CDC6,1
STATH,0
ASPA,0
CRY2,0
LOXL2,1
PLPP4,1
CIPC,0
NEK5,0
ACADM,0
CENPA,1
DPF1,1
HSD17B6,1
PFKM,0
FSD2,0
PRR27,0
HOXA11,1
COL4A1,1
HSD17B13,0
MMP1,1
EPM2A,0
MTFR1L,0
PKMYT1,1
AURKA,1
CA6,0
CAPN5,0
LHX5,1
SERPINH1,1
ZCWPW2,0
KIF4A,1
ASB14,0
DLG2,0
CALB1,1
AQP7,0
GAST,1
ABCD3,0
ADAM12,1
HOXD11,1
WISP1,1
DNMT3B,1
TPX2,1
EXO1,1
FBP2,0
ZNF106,0
COX7A1,0
OBSCN,0
C2ORF88,0
COQ8A,0
C16ORF89,0
CEP55,1
CENPO,1
FOXM1,1
CPEB3,0
GMDS,0
UGP2,0
SH3BGR,0
TGFB1,1
PHYH,0
KCNAB1,0
ACOX2,0
ZIC2,1
PPEF1,1
CAMK2N2,1
AIM2,1
CD276,1
KIAA1524,1
ISG15,1
HADHB,0
TRAK1,0
PAIP2B,0
LPIN1,0
TMEM52,0
NDUFS1,0
DTL,1
KRT31,0
KAT2B,0
NME5,0
TGFBI,1
MSTN,0
CDC45,1
STC2,1
UBE2C,1
C1QTNF6,1
PLK1,1
PRB3,0
PRIM2,1
SLC6A1,0
IBSP,1
FZD2,1
KIF14,1
AC018630.6,0
AGL,0
TK1,1
MTBP,1
KIF18B,1
FYCO1,0
PTK7,1
ALDH9A1,0
BMP1,1
GPT,0
C16ORF59,1
SPAG5,1
CCL11,1
ICAM5,1
RGN,0
PERM1,0
SLC25A12,0
EFHB,0
RAD54L,1
HOXB7,1
RMND5B,0
GOT1,0
ORC6,1
SNX10,1
PAEP,1
PDHB,2
KRT84,0
MT1A,0
MLYCD,0
CDCA3,1
HOXC11,1
RFC4,1
TTYH3,1
GTSE1,1
ENO3,0
CHRNA10,0
PLAU,1
KIF26B,1
PMEL,0
COL7A1,1
MAGI1,0
XRCC2,1
FEM1A,0
TROAP,1
GBX2,1
TESC,0
MINDY1,0
C1QTNF7,0
RPL3L,0
LYZ,0
HJURP,1
TMEM143,0
NIPSNAP3B,0
RRAGD,0
CDH24,1
HTN3,0
ADAMTS12,1
LBX2,1
ENO2,1
C14ORF159,0
ZIC5,1
HOXA13,1
SHCBP1,1
BIRC5,1
TMEM182,0
TPCN1,0
NRIP3,1
COL27A1,1
ATP6V1B1,0
FABP7,0
OFCC1,1
PRELID3A,1
ONECUT2,1
COL12A1,1
GNGT1,1
STAC2,0
SORBS1,0
CD300LG,0
SLC26A6,1
VAV2,1
GNA12,1
ADPRHL1,0
CENPI,1
ATP6V0A4,0
PTHLH,1
COL5A2,1
CAPN3,0
MCM2,1
ACAT1,0
LRTM1,0
COL4A2,1
SRD5A2,0
EXTL1,0
CHST11,1
SVIL,0
EIF5A2,1
MYLK3,0
PLIN5,0
ATP2B2,0
PYGM,0
TPPP2,0
ADAMTS20,1
PLOD3,1
KRT85,0
MTFR2,1
TIMP4,0
PDCD4,0
MYRIP,0
CYP3A4,0
C11ORF84,1
MRGBP,1
CSF2,1
TNXB,0
APBA2,1
IDI2,0
ARHGEF10L,0
HAPLN1,1
DUSP9,1
IL17D,0
ADH4,0
CFD,0
ZMYND12,0
ATP2A1,0
PLEKHB1,0
TONSL,1
COL11A1,1
WDHD1,1
C10ORF107,0
YEATS2,1
COL13A1,1
TRIP13,1
CFTR,0
ADAMTS2,1
MAP4K2,1
CFL2,0
MYLK4,0
ACYP2,0
RAD51,1
HSD11B2,0
PRR11,1
NME9,0
COL5A1,1
KIF23,1
PPIL6,0
TRAM2,1
SORBS2,0
PRR4,0
SH2D2A,1
ACACB,0
DEPTOR,0
AURKB,1
RORC,0
PDK4,0
CCNB2,1
AC131097.2,0
STK39,0
E2F7,1
MRAP,0
SLC38A3,0
PHKG1,0
MLANA,0
COL4A5,1
FOLR3,1
FBN2,1
PEBP4,0
ENPP3,0
IFI6,1
RPP14,2
PRAME,1
PLAC9,0
MYOC,0
BUB1,1
EXT1,1
PHACTR4,2
TCEAL6,0
FAM180B,0
ATAD2,1
NCAPH,1
FRZB,0
HOXD13,1
KRT36,0
SLC25A34,0
CGNL1,0
SLC46A2,0
PDE4DIP,0
CDCA8,1
PLXNA1,1
POSTN,1
MYZAP,0
CARNS1,0
CDC20,1
TRIP10,0
SASH1,0
IGF2BP2,1
UQCRC2,2
ANGPTL1,0
SLC2A6,1
SAR1B,2
FOXD2,1
CA3,0
LHX1,1
TPBG,1
RNF123,0
HINT3,0
ITM2A,0
AGRN,1
LRRN4CL,0
KPNA2,1
HTR1D,1
CASC1,0
HOXC10,1
SECISBP2L,0
MTMR10,0
ACTN3,0
P3H1,1
CDC25C,1
SNAI2,1
PRH2,0
PPP1R12B,0
SEC14L5,0
EDN3,0
ZNF707,1
CLIC5,0
F10,0
KIF3C,1
STX1A,1
CDKN3,1
CLSPN,1
RNASE10,1
FANCB,1
ITGA5,1
FEN1,1
LSMEM2,0
ADH1B,0
E2F1,1
WDR63,0
FIBCD1,1
PARP12,1
LMOD1,0
MB21D1,1
MAPT,0
SESN1,0
NEK2,1
KDELC1,1
DEPDC1B,1
SCGB3A2,0
SPATA18,0
BMP8A,1
FITM1,0
SHOX2,1
ECT2,1
DCBLD1,1
DLGAP5,1
MYOM1,0
GNG7,0
ACADSB,0
LAMA3,1
TMEM132A,1
FSCN1,1
SYNM,0
GREM2,0
SHROOM3,0
NDC80,1
CRISP3,0
TRIML2,1
CNTD2,1
KNTC1,1
DFNA5,1
ADHFE1,0
RAD51AP1,1
S100A1,0
PACRG,0
KRT33A,0
NDE1,1
PNPLA7,0
MAPKAPK3,0
FCHO2,0
POPDC2,0
CNGB1,1
PSMC3IP,1
CSRNP1,0
QSOX2,1
CKS1B,1
GPR176,1
NCMAP,0
FAM3D,0
TUSC5,0
LMBRD1,2
ALAD,0
FST,1
LPCAT1,1
ASAH1,0
SCN7A,0
TRNP1,0
HPGD,0
ADAMTS6,1
KLK1,0
TBC1D31,1
NUDT4,2
QARS,2
SEMA4F,1
SMR3B,0
GADD45B,0
LAMP5,1
RBM47,0
PGM1,0
MAL,0
UPK3A,0
UHRF1,1
MAGEA4,1
CAPN14,0
MGLL,0
SCG5,1
SCIN,0
TIMELESS,1
WNT2,1
SELENBP1,0
PRB4,0
PMEPA1,1
ZYG11B,2
KIF18A,1
VWA3B,0
SERPINE1,1
KRT76,0
NRM,1
KLHL33,0
HADH,0
ACAD8,0
AFDN,0
FOXL2,1
DSCC1,1
ZAN,1
ZBTB16,0
KHDC1L,1
CYP3A5,0
COL2A1,1
GPR158,1
SPRY4,1
SLC11A1,1
METTL11B,1
CHI3L2,0
KIAA0232,0
HAUS8,1
TSPAN6,0
