"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRH1",235.136176598147,-7.39156509540182,0.322552594681151,-22.9158444771108,3.22970734521317e-116,5.97560453011342e-112
"AGFG2",1278.80441023159,-2.37898026395516,0.120897392665301,-19.6776804818385,3.34986800723342e-86,3.09896289349163e-82
"CA9",1975.94704504972,5.85689214859303,0.298274287133227,19.6359270686212,7.62759704560799e-86,4.7041933512613e-82
"NUCB2",2934.46601000425,-2.14889935300068,0.110198540045814,-19.5002524725581,1.09241745361324e-84,5.05297693168806e-81
"CAB39L",437.519078174119,-2.20416470924407,0.115118520774215,-19.1469165380188,1.0268990771346e-81,3.79993734502889e-78
"CCL28",894.145913449953,-4.17662173931928,0.222097907328038,-18.805317841876,6.83115465307449e-79,2.10650038985307e-75
"MMP11",6602.66527282472,5.05355206016379,0.269448979009564,18.7551353088794,1.75769820657648e-78,4.64584745972542e-75
"NOSTRIN",137.338449315651,-2.4886521320126,0.133637454783178,-18.6224149214032,2.11459444214961e-77,4.89052829608151e-74
"GPD1L",1302.48233929694,-2.74531972671523,0.149375071431256,-18.3787006788389,1.94573527806864e-75,3.99999934609178e-72
"EMP1",30392.531795238,-3.17873455024349,0.17355283737486,-18.3156587833691,6.20711904293849e-75,1.14844116532448e-71
"CST4",276.00337384494,-8.11337694652784,0.448691536717542,-18.0823043953141,4.39331981388333e-73,7.38956392695176e-70
"IL11",442.436634105306,4.30095115579968,0.238213177389296,18.0550513743029,7.19949166805362e-73,1.11004162368607e-69
"CLEC3B",251.880238555603,-3.56058712571092,0.200080435726177,-17.7957785467032,7.6200948872986e-71,1.08451535080614e-67
"COLGALT1",9700.75596159713,1.44020089197158,0.0810169126452038,17.7765462166972,1.07395452294713e-70,1.41930761311198e-67
"MPO",45.0562599847232,-4.6257380657909,0.263728156587529,-17.5397959992022,7.11824606342903e-69,8.78011924437092e-66
"COL10A1",1752.85747155585,5.32984723221445,0.304841986541705,17.4839669977196,1.89821643494928e-68,2.19505002996447e-65
"GPD1",321.114326895393,-5.16779786897236,0.296193674816836,-17.447360657408,3.60510588906943e-68,3.92362759762133e-65
"PLIN1",99.3938191693795,-5.52030745200324,0.317549440174737,-17.3840881248778,1.08905738808987e-67,1.11942998857993e-64
"ETFDH",1049.72546308193,-1.57921012013159,0.0909228533291447,-17.3686819353852,1.4246088141768e-67,1.38726906736311e-64
"BPIFA2",430.563395706657,-11.4717610951754,0.664100297135102,-17.2741393802474,7.36640674313207e-67,6.81466287807148e-64
"HTN1",542.79213681355,-11.4309119859463,0.6698532210713,-17.0648011032399,2.71311774519372e-65,2.39038592959877e-62
"UBL3",1990.35220847771,-1.65553639007404,0.098384097882914,-16.8272762133193,1.54026582653008e-63,1.2953635601118e-60
"LPO",881.897816369494,-7.96719594122325,0.477616486505438,-16.681157720322,1.79702253308646e-62,1.41966345473112e-59
"HOXC6",133.212827863334,3.68441106532606,0.220891975100243,16.6796963251111,1.84152647895076e-62,1.41966345473112e-59
"OMG",29.9621302432501,-3.82533794968937,0.231078005213307,-16.5543144020056,1.49029423858424e-61,1.10293696009142e-58
"SLC25A4",2151.87034432048,-3.24947686463814,0.196435310711392,-16.5422237624699,1.82171455339685e-61,1.29636010257494e-58
"GPRIN1",1094.72809485459,2.09718777932607,0.12680956331864,16.5380884882978,1.95116068653448e-61,1.33705092675041e-58
"CDCA5",2696.91170163985,1.92846398221054,0.116731401584356,16.5205245207043,2.61117308718674e-61,1.72542587354032e-58
"PFKFB1",26.6694474875478,-2.97385564529399,0.180863734186794,-16.442520434874,9.48891504740576e-61,6.05392780024488e-58
