"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MFSD4A",3886.92781177116,-5.23602853943269,0.126962104762476,-41.2408769469315,0,0
"LINC00675",76.4905855497231,-7.18602443422425,0.197609425771272,-36.3647857695913,1.53437453375076e-289,1.42428316095415e-285
"SPAG4",2600.72886647331,4.12378860402834,0.118450257600062,34.8145178202314,1.46678793455955e-265,9.07697266836601e-262
"NDUFA4L2",86981.0660991167,5.80761850839099,0.172311184420959,33.7042457685328,5.00933515269411e-249,2.32495767774415e-245
"ACPP",440.673317663796,-5.58728098378239,0.16795293604966,-33.266944390483,1.16130085739512e-242,4.31191008350809e-239
"EGLN3",29979.9792987561,4.26172669756141,0.12986325709139,32.8170322615755,3.36562375832515e-236,1.04138008455511e-232
"GABRD",867.626287865826,5.26448070799957,0.16146528891241,32.6044114091629,3.55134909451432e-233,9.4186851342369e-230
"HILPDA",12045.3866002438,4.75454574965507,0.147264622345991,32.2857294162919,1.10945121972027e-228,2.57462023676336e-225
"NOL3",6140.08603468181,3.44179905279073,0.108028979458892,31.8599608182028,9.58117168731648e-223,1.976382804167e-219
"SCARB1",14088.4310755178,4.09525736699077,0.131013424519773,31.2583033532774,1.72176234700669e-214,3.19645179721792e-211
"SIM2",378.816509006285,-4.51608356461434,0.145357273885061,-31.0688515538987,6.34864152652111e-212,1.07147754490786e-208
"COL23A1",11457.3629418543,5.19311379878671,0.168825285777716,30.7602843665506,8.90918136262583e-208,1.37832459997624e-204
"DDB2",2908.87828508127,2.04398322873852,0.066808364746561,30.594720234396,1.43879599953443e-205,2.05471136395052e-202
"CA9",11978.4223406525,6.05389057539599,0.19904557550892,30.4145950489851,3.5225523116354e-203,4.67115597610795e-200
"STC2",7417.82349490955,4.24976387064104,0.140086276164574,30.3367609375838,3.75625138094788e-202,4.64898712581982e-199
"CDCA2",1177.70499526338,4.68985329531264,0.155711392954481,30.1188834440883,2.74236456033161e-199,3.18199987890977e-196
"HSF4",4318.49594918893,5.73295995981175,0.19124844001395,29.9765057398302,1.98674987530594e-197,2.16964773147381e-194
"ANGPTL4",45380.7647127615,4.96164262201058,0.167593133230734,29.6052858870991,1.2775953148645e-192,1.24834510633997e-189
"SAP30",1018.78697362359,2.48709092968726,0.0846683999755198,29.3744883617306,1.16325930942702e-189,1.07979545397563e-186
"FABP6",1282.09957185513,6.44037749833356,0.219915888913016,29.2856397514822,1.58027426787372e-188,1.39703770395598e-185
"RBP2",16.5862569645904,-4.26168484439925,0.145602511155954,-29.2693086854429,2.55049458001556e-188,2.15226963081768e-185
"ATP1A1",72296.2466980446,-2.76243559202357,0.0946711481769627,-29.1792763182709,3.5534110467283e-187,2.86822069923961e-184
"TREM2",1369.37605301962,4.26887947480455,0.146335845871563,29.1717962156127,4.42114976720255e-187,3.41994355950481e-184
"FECH",2287.27253697121,-1.97449460057911,0.0683101566685351,-28.9048466124891,1.03769218432386e-183,7.70590216078896e-181
"SIGLEC8",461.255402724493,5.07448195217059,0.17579555959731,28.8658141524994,3.20852960983521e-183,2.29101354640733e-180
"VEGFA",92183.0211820255,3.4816547831794,0.121460220297667,28.6649799798386,1.04299591524579e-180,7.17156265427339e-178
"SEMA5B",8925.59022483215,3.90547918506985,0.136442737746874,28.6235768173696,3.41952925017225e-180,2.26727001890885e-177
"DOC2A",1827.3614367249,6.15510501605778,0.21530493717424,28.5878489218138,9.51406053548455e-180,6.09063909797485e-177
"ESRRB",471.037472130817,-5.98755343490065,0.209562057559579,-28.5717438768627,1.50836564990818e-179,9.33426943018182e-177
"VIM",169870.36264813,2.59257202620157,0.092072005221827,28.1580923534287,1.90758925509175e-174,1.10669982877432e-171
"TNFAIP6",2815.21818765527,5.65931002745107,0.201370487047987,28.1039695062288,8.76083208457379e-174,4.9286317469731e-171
"SLC16A3",15239.1602599078,3.06780004508382,0.109281395991065,28.0724822122023,2.12388341121579e-173,1.15970280968298e-170
"ST8SIA4",3237.22701087933,3.52476041839649,0.125652426766671,28.0516700639754,3.81148193919825e-173,2.02171892003473e-170
"ADGRF3",99.7045529091074,-3.53935463583089,0.126265627048662,-28.0310225241811,6.80554248320083e-173,3.50958045001732e-170
"APOC1",6061.71507550199,5.23620764003488,0.190308920505526,27.514252228039,1.18563145562481e-166,5.94898593883098e-164
