"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PYCR1",1,1,1,1,1,1
"FAM83A",1,1,1,1,1,1
"OTUD1",0,0,0,0,0,0
"C16ORF59",1,1,1,1,1,1
"ETV4",1,1,1,1,1,1
"TUBB3",1,1,1,1,1,1
"EPAS1",0,0,0,0,0,0
"B3GNT3",1,1,1,1,1,1
"SPAAR",0,0,0,0,0,0
"SAPCD2",1,1,1,1,1,1
"PECAM1",0,0,0,0,0,0
"TOP2A",1,1,1,1,1,1
"IQGAP3",1,1,1,1,1,1
"ACVRL1",0,0,0,0,0,0
"S1PR1",0,0,0,0,0,0
"RTKN2",0,0,0,0,0,0
"WWC2",0,0,0,0,0,0
"RGCC",0,0,0,0,0,0
"ADM2",1,1,1,1,1,1
"SEMA3G",0,0,0,0,0,0
"STX11",0,0,0,0,0,0
"RAMP3",0,0,0,0,0,0
"PTPN21",0,0,0,0,0,0
"TEK",0,0,0,0,0,0
"KIF4A",1,1,1,1,1,1
"UBE2T",1,1,1,1,1,1
"EMP2",0,0,0,0,0,0
"RAMP2",0,0,0,0,0,0
"CRABP2",1,1,1,1,1,1
"LDB2",0,0,0,0,0,0
"MEX3A",1,1,1,1,1,1
"CDC20",1,1,1,1,1,1
"HSPA12B",0,0,0,0,0,0
"FAM107A",0,0,0,0,0,0
"HJURP",1,1,1,1,1,1
"TMEM184A",1,1,1,1,1,1
"NEK2",1,1,1,1,1,1
"PRKCE",0,0,0,0,0,0
"TMPRSS4",1,1,1,1,1,1
"UHRF1",1,1,1,1,1,1
"GOLM1",1,1,1,1,1,1
"PTPRH",1,1,1,1,1,1
"CDC25C",1,1,1,1,1,1
"KIF14",1,1,1,1,1,1
"ASPM",1,1,1,1,1,1
"LIMS2",0,0,0,0,0,0
"MMP11",1,1,1,1,1,1
"UBE2C",1,1,1,1,1,1
"EDNRB",0,0,0,0,0,0
"KIF2C",1,1,1,1,1,1
"DLGAP5",1,1,1,1,1,1
"ABCA12",1,1,1,1,1,1
"KIF20A",1,1,1,1,1,1
