"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PYCR1",5367.80694602244,3.74613573369413,0.123788822984014,30.2623099839789,3.59346725228718e-201,6.6267129599428e-197
"FAM83A",6617.19309515386,6.80164139780527,0.236182839944032,28.7982031184698,2.2590152373692e-182,2.08292499961627e-178
"OTUD1",1125.03627117381,-2.13466885912936,0.0819237190285728,-26.0567865380336,1.12702277139571e-149,6.92780897576942e-146
"C16ORF59",281.231329992453,3.5452853956118,0.140769841675167,25.1849782128242,5.85174405241431e-140,2.69780030176431e-136
"ETV4",2195.53259686005,3.87343988441733,0.155581737062677,24.8964946499916,8.11983283413235e-137,2.99475674588469e-133
"TUBB3",371.8589830402,4.77879338179394,0.196804750877182,24.2819005155835,3.04501026322547e-130,9.3588390440235e-127
"EPAS1",28087.8538545567,-2.70258121935924,0.111874341126914,-24.1572928353013,6.25883750769667e-129,1.44274028099293e-125
"B3GNT3",2070.05765139137,4.39360823074642,0.18186378452788,24.1587858855585,6.03673743289063e-129,1.44274028099293e-125
"SPAAR",62.6667452356395,-2.70391260378006,0.112651502147033,-24.0024549362058,2.62140274563808e-127,5.37125422581244e-124
"SAPCD2",740.938520533314,3.78368893568069,0.157702874934365,23.9925171767187,3.32877213956057e-127,6.13858870256365e-124
"PECAM1",12172.8277992818,-2.30994768996407,0.0971141317024893,-23.7859068445428,4.67304103662685e-125,7.8341408869487e-122
"TOP2A",5343.35598981528,3.85125470357565,0.162444113090977,23.7081826499846,2.96894413596729e-124,4.56252490094773e-121
"IQGAP3",1368.15493980751,3.60347310559731,0.152768626267758,23.5877823453193,5.14445226257216e-123,7.29760339800716e-120
"ACVRL1",2292.06895999068,-2.54378526182309,0.109477669355995,-23.2356541456076,1.98673244227912e-119,2.61695235486209e-116
"S1PR1",1782.51111806998,-2.85138634661232,0.122836956173392,-23.2127727309313,3.38338192352503e-119,4.15952973678167e-116
"RTKN2",2136.25411161138,-4.11954787705246,0.177704659386794,-23.1819913516494,6.91882003751738e-119,7.97437251949112e-116
"WWC2",2126.31110267581,-2.40591867848256,0.104136387617066,-23.1035350230285,4.26624454893317e-118,4.62787151334568e-115
"RGCC",3481.13774219822,-2.85711304273996,0.123864967827383,-23.0663527618366,1.00813687281296e-117,1.03283622619688e-114
"ADM2",766.03982468044,3.45576223219245,0.149851038062771,23.0613166039254,1.13255325826388e-117,1.09923234924443e-114
"SEMA3G",743.404545519584,-3.19894490068996,0.138780003249455,-23.050474317542,1.45487754251847e-117,1.34146983807916e-114
"STX11",558.944848419812,-2.98767012441053,0.129669383530371,-23.0406750079964,1.82426302146971e-117,1.60196354185347e-114
"RAMP3",1154.23952174592,-3.18879814972395,0.138717999000098,-22.9876308244737,6.19807811075254e-117,5.19539811092671e-114
"PTPN21",1271.71616736886,-2.48035084159972,0.108184366189912,-22.9270728197972,2.49561083023247e-116,2.00093736175291e-113
"TEK",966.252997692022,-3.27411126636646,0.143361710109583,-22.8381153089188,1.91822426545669e-115,1.47391556997028e-112
"KIF4A",870.495108148954,3.82421175434633,0.167875454949806,22.780052959438,7.23033087214679e-115,5.33338126453036e-112
"UBE2T",848.984629132215,3.32391388190075,0.145940450402768,22.7758231026927,7.9630907081967e-115,5.43879095369834e-112
"EMP2",18360.2944482361,-2.73460236236502,0.120060450628595,-22.7768790475763,7.77349949634809e-115,5.43879095369834e-112
"RAMP2",1024.53552056552,-2.8408463185287,0.12630058418745,-22.4927409228167,4.88848485646337e-112,3.21959104421575e-109
"CRABP2",8263.02134300281,5.62070094007882,0.249977783984334,22.484801851156,5.84609559715857e-112,3.7175120312828e-109
"LDB2",1137.49287933251,-2.63044673581632,0.117535969402768,-22.3799297285956,6.17417571558313e-111,3.79526581236895e-108
"MEX3A",1340.7220157746,4.18662685228002,0.187572488886828,22.3200474500609,2.36039083431919e-110,1.40412797986065e-107
"CDC20",1576.53473767529,3.80025144941768,0.170581902038346,22.278163181481,6.01754725501926e-110,3.46779965405657e-107
"HSPA12B",444.602627091755,-2.75486857122441,0.123850876490326,-22.243432176595,1.30576421726611e-109,7.08223468547186e-107
"FAM107A",1793.51401202767,-4.53224758937681,0.203752650909388,-22.2438705417991,1.29306840843361e-109,7.08223468547186e-107
"HJURP",701.563704777569,3.85786169952221,0.174178156699944,22.148940904043,1.06800165242548e-108,5.62714813496524e-106
"TMEM184A",2030.77282766751,3.14706495984399,0.142299468581541,22.1157885634734,2.2278140078329e-108,1.1411977255124e-105
"NEK2",687.004043829836,3.72392196414217,0.168540157362012,22.0951613100933,3.51811529915658e-108,1.75344768193909e-105
"PRKCE",1033.02892286687,-1.93410474919685,0.0875951038036052,-22.0800554507391,4.91483831426462e-108,2.38511929877247e-105
"TMPRSS4",5433.44833058671,4.80547059171284,0.218097924117665,22.0335457623167,1.37386610507383e-107,6.49627303683756e-105
"UHRF1",691.910023379711,3.34706821855289,0.152468196607922,21.952566456597,8.18479470439946e-107,3.77339497859576e-104
"GOLM1",13366.6807360608,2.64917810447777,0.120776271488775,21.9345908912579,1.21525881700783e-106,5.46599703522959e-104
"PTPRH",732.366450394248,5.2672991191265,0.240284907982443,21.9210568127373,1.63614788990497e-106,7.18385791374704e-104
"CDC25C",199.772800213032,3.65678694977056,0.167160877808089,21.8758539541099,4.41175732875125e-106,1.89202829998841e-103
"KIF14",430.219384729769,3.69662426387247,0.169043843705416,21.8678431751374,5.2585135208588e-106,2.20391472359448e-103
"ASPM",926.599755965837,3.62201099448342,0.165964940256394,21.8239526305247,1.37450328066114e-105,5.63271444414937e-103
"LIMS2",1258.73468153086,-2.77418330713294,0.127423748584965,-21.7713207933382,4.33944556918342e-105,1.73964599437634e-102
"MMP11",4553.92207701783,5.54051127304455,0.254737072549324,21.7499212721453,6.91984075716694e-105,2.71508049793437e-102
"UBE2C",1745.30055896295,4.20425667506931,0.193838024202512,21.6895353342898,2.57575424066636e-104,9.89572582336007e-102
"EDNRB",1559.48350597675,-3.52592983515839,0.162886277808126,-21.6465738096846,6.5470162772284e-104,2.46394953404834e-101
