"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TPX2",1,1,1,1,1,1
"KIF4A",1,1,1,1,1,1
"CENPA",1,1,1,1,1,1
"TROAP",1,1,1,1,1,1
"KIF2C",1,1,1,1,1,1
"CDCA5",1,1,1,1,1,1
"UBE2C",1,1,1,1,1,1
"HJURP",1,1,1,1,1,1
"CDC20",1,1,1,1,1,1
"NEK2",1,1,1,1,1,1
"TTK",1,1,1,1,1,1
"PLK1",1,1,1,1,1,1
"CCNB2",1,1,1,1,1,1
"EXO1",1,1,1,1,1,1
"MYBL2",1,1,1,1,1,1
"KIF23",1,1,1,1,1,1
"NCAPH",1,1,1,1,1,1
"BUB1B",1,1,1,1,1,1
"RAD54L",1,1,1,1,1,1
"BIRC5",1,1,1,1,1,1
"TFAP2A",1,1,1,1,1,1
"CKAP2L",1,1,1,1,1,1
"FAM83B",1,1,1,1,1,1
"KIF18B",1,1,1,1,1,1
"DLGAP5",1,1,1,1,1,1
"DEPDC1",1,1,1,1,1,1
"CDC45",1,1,1,1,1,1
"KIF11",1,1,1,1,1,1
"SLC2A1",1,1,1,1,1,1
"ANLN",1,1,1,1,1,1
"CDC6",1,1,1,1,1,1
"PRC1",1,1,1,1,1,1
"CDCA3",1,1,1,1,1,1
"NUF2",1,1,1,1,1,1
"AURKB",1,1,1,1,1,1
"GINS1",1,1,1,1,1,1
"SKA3",1,1,1,1,1,1
"KIF14",1,1,1,1,1,1
"ORC6",1,1,1,1,1,1
"GTSE1",1,1,1,1,1,1
"POLQ",1,1,1,1,1,1
"CEP55",1,1,1,1,1,1
"FOXM1",1,1,1,1,1,1
"NCAPG",1,1,1,1,1,1
"SKA1",1,1,1,1,1,1
"CDCA8",1,1,1,1,1,1
"CCNB1",1,1,1,1,1,1
"SERPINB5",1,1,1,1,1,1
"MCM10",1,1,1,1,1,1
"ASPM",1,1,1,1,1,1
"CCNA2",1,1,1,1,1,1
"PKMYT1",1,1,1,1,1,1
"TICRR",1,1,1,1,1,1
"MELK",1,1,1,1,1,1
"KIFC1",1,1,1,1,1,1
"TOP2A",1,1,1,1,1,1
"BUB1",1,1,1,1,1,1
"CENPF",1,1,1,1,1,1
"NUSAP1",1,1,1,1,1,1
"SGO1",1,1,1,1,1,1
"RAD51",1,1,1,1,1,1
"UBE2T",1,1,1,1,1,1
"DEPDC1B",1,1,1,1,1,1
"CDT1",1,1,1,1,1,1
"NDC80",1,1,1,1,1,1
"STIL",1,1,1,1,1,1
"CDC25C",1,1,1,1,1,1
"E2F7",1,1,1,1,1,1
"AURKA",1,1,1,1,1,1
"CDCA2",1,1,1,1,1,1
"C16ORF59",1,1,1,1,1,1
"AUNIP",1,1,1,1,1,1
"ESPL1",1,1,1,1,1,1
"ORC1",1,1,1,1,1,1
"UHRF1",1,1,1,1,1,1
"MCM4",1,1,1,1,1,1
"GPR87",1,1,1,1,1,1
"CALML3",1,1,1,1,1,1
"KIF20A",1,1,1,1,1,1
"KNL1",1,1,1,1,1,1
"XRCC2",1,1,1,1,1,1
"RRM2",1,1,1,1,1,1
"KRT6A",1,1,1,1,1,1
"CHEK1",1,1,1,1,1,1
"ZWINT",1,1,1,1,1,1
"CENPI",1,1,1,1,1,1
"C12ORF56",1,1,1,1,1,1
"ERCC6L",1,1,1,1,1,1
"GABRA3",1,1,1,1,1,1
"B4GALNT4",1,1,1,1,1,1
"CDK1",1,1,1,1,1,1
"PITX1",1,1,1,1,1,1
"DSG3",1,1,1,1,1,1
"PBK",1,1,1,1,1,1
"C17ORF53",1,1,1,1,1,1
"TRIP13",1,1,1,1,1,1
"PIMREG",1,1,1,1,1,1
"MAD2L1",1,1,1,1,1,1
"MCM2",1,1,1,1,1,1
"SPAG5",1,1,1,1,1,1
"SPC24",1,1,1,1,1,1
"NXPH4",1,1,1,1,1,1
"PRAME",1,1,1,1,1,1
"ARHGAP11A",1,1,1,1,1,1
"SAPCD2",1,1,1,1,1,1
"NECTIN1",1,1,1,1,1,1
"KRT5",1,1,1,1,1,1
"GNGT1",1,1,1,1,1,1
"IQGAP3",1,1,1,1,1,1
"TK1",1,1,1,1,1,1
"PSAT1",1,1,1,1,1,1
"FANCI",1,1,1,1,1,1
"DUSP9",1,1,1,1,1,1
"MND1",1,1,1,1,1,1
"PTTG1",1,1,1,1,1,1
"OIP5",1,1,1,1,1,1
"GRHL3",1,1,1,1,1,1
"RECQL4",1,1,1,1,1,1
"BRIP1",1,1,1,1,1,1
"EME1",1,1,1,1,1,1
"GJB6",1,1,1,1,1,1
"KIF15",1,1,1,1,1,1
"DQX1",1,1,1,1,1,1
"HELLS",1,1,1,1,1,1
"GINS2",1,1,1,1,1,1
"IGSF9",1,1,1,1,1,1
"SPC25",1,1,1,1,1,1
"CENPE",1,1,1,1,1,1
"CERS3",1,1,1,1,1,1
"CDC25A",1,1,1,1,1,1
"PRR11",1,1,1,1,1,1
"ESCO2",1,1,1,1,1,1
"KIAA1524",1,1,1,1,1,1
"MKI67",1,1,1,1,1,1
"DLX6",1,1,1,1,1,1
"ASF1B",1,1,1,1,1,1
"NEIL3",1,1,1,1,1,1
"RFC4",1,1,1,1,1,1
"ROBO4",0,0,0,0,0,0
"GJB5",1,1,1,1,1,1
"HMGA1",1,1,1,1,1,1
"RACGAP1",1,1,1,1,1,1
"FERMT1",1,1,1,1,1,1
"COL7A1",1,1,1,1,1,1
"RAMP2",0,0,0,0,0,0
"PKP1",1,1,1,1,1,1
"ABCA12",1,1,1,1,1,1
"RAD51AP1",1,1,1,1,1,1
"PLK4",1,1,1,1,1,1
"CCNF",1,1,1,1,1,1
"TP63",1,1,1,1,1,1
"CDKN3",1,1,1,1,1,1
"WDR72",1,1,1,1,1,1
"DSP",1,1,1,1,1,1
"SECISBP2L",0,0,0,0,0,0
"FOXE1",1,1,1,1,1,1
"PCLAF",1,1,1,1,1,1
"KRT17",1,1,1,1,1,1
"TNS4",1,1,1,1,1,1
"HOXC13",1,1,1,1,1,1
"TMPRSS4",1,1,1,1,1,1
"ECT2",1,1,1,1,1,1
"EZH2",1,1,1,1,1,1
"RTKN2",0,0,0,0,0,0
"FAM83F",1,1,1,1,1,1
"PPP2R2C",1,1,1,1,1,1
