"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TPX2",6440.36018168605,4.58724112377503,0.119434264020814,38.4080829850937,0,0
"KIF4A",1776.76262815539,4.24260971888414,0.109720061408833,38.6675842540369,0,0
"CENPA",717.033468359945,4.63737194644703,0.122073626065911,37.9883198025362,0,0
"TROAP",1641.97938104901,4.71455028144577,0.124646729385102,37.8232971270343,0,0
"KIF2C",2191.71951739349,4.21595540580565,0.111381815192521,37.851379944908,0,0
"CDCA5",2520.53515846799,3.95864337169216,0.103959099771249,38.0788538993003,0,0
"UBE2C",3281.32138702309,4.80752525046949,0.124268937454183,38.6864597779473,0,0
"HJURP",1493.99364005986,4.59296329190279,0.122469006076334,37.5030666047868,8.20942157095017e-308,1.90797219085846e-304
"CDC20",3558.71673143011,4.52516339288377,0.121289765446673,37.3086993467171,1.18602785081712e-304,2.45020175891585e-301
"NEK2",1318.20687130682,4.55654844407849,0.122676537573567,37.1427865034585,5.73231225776292e-302,1.06580881808586e-298
"TTK",1394.63536962441,4.53188154498478,0.12213842241671,37.1044709380885,2.3797069019599e-301,4.0223536752855e-298
"PLK1",2619.41908944776,4.00880382878333,0.108365059290828,36.9935093010432,1.45617682766669e-299,2.25622464640057e-296
"CCNB2",2350.03543973456,4.08337481296613,0.111179806117874,36.7276662511615,2.6427146578188e-295,3.77969181790962e-292
"EXO1",937.204314440245,4.32347014266643,0.117853369834094,36.6851635108331,1.25923071834033e-294,1.67234833900727e-291
"MYBL2",5236.96853047119,4.72165971466634,0.128863445448312,36.6407998656239,6.41226620790731e-294,7.94821770690804e-291
"KIF23",2123.2161519215,3.6279728411048,0.0991783150649209,36.5803032520765,5.88314820594759e-293,6.83658591207397e-290
"NCAPH",1633.60001156035,4.05012839844189,0.110922123570218,36.5132605478654,6.83142795484602e-292,7.47157293908542e-289
"BUB1B",1695.5008271039,4.22556645202422,0.115857623162615,36.4720623181897,3.07562746314079e-291,3.17695230123203e-288
"RAD54L",772.17976770495,4.23724817227481,0.117603216625276,36.0300363703156,2.83344379125832e-284,2.77274844267715e-281
"BIRC5",4779.96907964745,4.67352343368765,0.130387585488546,35.843316034855,2.33738697379863e-281,2.17295180019189e-278
"TFAP2A",2730.21508559014,5.34079157686167,0.150830008565782,35.40934345656,1.22623734658633e-274,1.0856871897657e-271
"CKAP2L",1094.84441395925,4.0067757672066,0.114352763978755,35.0387312715153,5.78915984048336e-269,4.89262949609578e-266
"FAM83B",1331.77752579768,6.53518767573591,0.186896142457675,34.9669478984345,7.15686065885216e-268,5.78554392304514e-265
"KIF18B",1494.3804915822,4.71310276183758,0.135180923191528,34.8651470234445,2.51003388850663e-266,1.94454417037516e-263
"DLGAP5",1496.7972364577,4.19260084939545,0.12038484936445,34.8266486316968,9.61101932041832e-266,7.14790728898151e-263
"DEPDC1",1047.88185762076,4.46833847234581,0.12831454316518,34.8233205848982,1.07930765953695e-265,7.71829512068099e-263
"CDC45",1676.68074590313,4.50457584669465,0.130049768001729,34.6373232025662,6.93267123157006e-263,4.77404282254008e-260
"KIF11",2473.77030415718,3.46039936626343,0.0999213231149127,34.6312404438826,8.55993428542236e-263,5.68410207745922e-260
"SLC2A1",53569.1619618753,5.70618926414655,0.166758731586716,34.21823379113,1.29514113104595e-256,8.30364105156458e-254
"ANLN",3949.69841731467,4.17667952736783,0.122484009546592,34.0997942737908,7.42812221953679e-255,4.60370254759492e-252
"CDC6",2218.66325704189,4.07452746019219,0.119608110326632,34.065645289983,2.38113788607792e-254,1.42814505534989e-251
"PRC1",4083.15351491538,3.59167704120151,0.105551157265852,34.0278319465047,8.6374570883666e-254,5.01863248887501e-251
"CDCA3",1373.22136732688,4.16810133523178,0.122632631389003,33.9885174771317,3.29264275314865e-253,1.85515474876645e-250
"NUF2",1266.5059212947,4.4449846989174,0.131227969841374,33.8722355020079,1.70818716547224e-251,9.19034133686234e-249
"AURKB",1560.34136476822,4.38083575269963,0.129335549659194,33.8718609403477,1.73001638675944e-251,9.19034133686234e-249
"GINS1",1631.35673665647,3.96919653193339,0.117525823176408,33.7729736721398,4.91883085695462e-250,2.54043950342659e-247
"SKA3",646.602189970202,3.95869479301404,0.117775024616536,33.6123452820593,1.10746359134396e-247,5.56515420374546e-245
"KIF14",908.583681437899,4.33685179412479,0.129089826652876,33.5956125015695,1.9442132812031e-247,9.51283093089719e-245
"ORC6",902.955460770708,3.9955491626866,0.119617445946475,33.4027292680574,1.25141909601612e-244,5.96606032108403e-242
"GTSE1",1161.62021433331,3.90365062517478,0.116960484413391,33.37580760505,3.07706947223035e-244,1.43029881742947e-241
"POLQ",972.41707531316,4.49036307165626,0.13469562749259,33.3371109014158,1.1200077662424e-243,5.07909863359631e-241
"CEP55",2322.40742583509,4.06933011038971,0.122123923247726,33.3213182329161,1.89679542868053e-243,8.396932715585e-241
"FOXM1",4843.77333212959,4.43938229743214,0.133559307394407,33.239033535285,2.94025997088853e-242,1.27135473578443e-239
"NCAPG",1241.4160302168,3.64275839580895,0.110404928903322,32.9945268928961,9.73166746967127e-239,4.11229302871814e-236
"SKA1",714.67138319056,4.15219258394687,0.126082939483658,32.9322317591196,7.59997269032792e-238,3.14013982736149e-235
"CDCA8",1880.90841079447,3.84124469145589,0.117135260051535,32.7932399669057,7.35107600112396e-236,2.9712729584543e-233
"CCNB1",3601.14069493295,3.6281649390221,0.110918965610843,32.710050251924,1.12390793172795e-234,4.35350420304538e-232
"SERPINB5",10444.6230181073,7.02237866961809,0.214684390971025,32.7102433383985,1.11682524546368e-234,4.35350420304538e-232
"MCM10",893.356323976463,4.05347130026358,0.124413565499307,32.5806216066218,7.71699962019501e-233,2.92820763139359e-230
"ASPM",1926.61364561319,4.15039111021156,0.127549346213178,32.539493407319,2.94832690011751e-232,1.0963648410777e-229
"CCNA2",2148.74281985289,3.84423347522285,0.118586682779157,32.4170757215793,1.57734998172007e-230,5.75052317845516e-228
