"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MFSD2A",0,0,0,0,0,0
"SERPINA5",0,0,0,0,0,0
"ACSL6",0,0,0,0,0,0
"MCF2",0,0,0,0,0,0
"AKR1B1",0,0,0,0,0,0
"HOXB8",0,0,0,0,0,0
"EMX2",0,0,0,0,0,0
"CLDN2",0,0,0,0,0,0
"SPINK2",0,0,0,0,0,0
"KLHL14",0,0,0,0,0,0
"PATE2",0,0,0,0,0,0
"NDRG4",0,0,0,0,0,0
"SPINK13",0,0,0,0,0,0
"RASL10B",0,0,0,0,0,0
"CYSLTR2",0,0,0,0,0,0
"CRTAC1",0,0,0,0,0,0
"CYP19A1",0,0,0,0,0,0
"WNT9B",0,0,0,0,0,0
"SLC2A9",0,0,0,0,0,0
"HOXB6",0,0,0,0,0,0
"CA2",0,0,0,0,0,0
"TMEM114",0,0,0,0,0,0
"ANO1",0,0,0,0,0,0
"ABCG2",0,0,0,0,0,0
"PATE4",0,0,0,0,0,0
"KCP",0,0,0,0,0,0
"ANXA13",0,0,0,0,0,0
"PIP",0,0,0,0,0,0
"MGAM",0,0,0,0,0,0
"PAQR8",0,0,0,0,0,0
"KCNJ5",0,0,0,0,0,0
"MRO",0,0,0,0,0,0
"EPHA10",1,1,1,1,1,1
"KIRREL3",0,0,0,0,0,0
"ATP13A4",0,0,0,0,0,0
"C1ORF186",0,0,0,0,0,0
"WWC3",0,0,0,0,0,0
"SLC16A12",0,0,0,0,0,0
"NKX2-3",1,1,1,1,1,1
"PTGES",0,0,0,0,0,0
"FRMD3",0,0,0,0,0,0
"STAC2",0,0,0,0,0,0
"HPN",1,1,1,1,1,1
"LAPTM4A",0,0,0,0,0,0
"PLA2G4A",0,0,0,0,0,0
"AQP2",0,0,0,0,0,0
"GCNT4",0,0,0,0,0,0
"CRISP1",0,0,0,0,0,0
"ABHD6",0,0,0,0,0,0
"PNMT",0,0,0,0,0,0
"SLC45A2",1,1,1,1,1,1
"GSTM3",0,0,0,0,0,0
"PAEP",0,0,0,0,0,0
"SLCO4C1",0,0,0,0,0,0
"SLC46A2",0,0,0,0,0,0
"FUT3",0,0,0,0,0,0
"EVA1A",0,0,0,0,0,0
"PRDM16",0,0,0,0,0,0
"FAM83A",0,0,0,0,0,0
"SNAP25",0,0,0,0,0,0
"RAB11FIP2",0,0,0,0,0,0
"SIM2",1,1,1,1,1,1
"SLC13A2",0,0,0,0,0,0
"SLC31A2",0,0,0,0,0,0
"PAX2",0,0,0,0,0,0
"SEMG2",0,0,0,0,0,0
"CLU",0,0,0,0,0,0
"PIK3C2G",0,0,0,0,0,0
"HS3ST5",0,0,0,0,0,0
"HOXB9",0,0,0,0,0,0
"GNAO1",0,0,0,0,0,0
"UNC5B",0,0,0,0,0,0
"GLIS3",0,0,0,0,0,0
"LPL",0,0,0,0,0,0
"HOXC6",1,1,1,1,1,1
"UGT2B7",0,0,0,0,0,0
"LRFN1",1,1,1,1,1,1
"SLMAP",0,0,0,0,0,0
"KCNJ15",0,0,0,0,0,0
"SEMG1",0,0,0,0,0,0
"LPCAT2",0,0,0,0,0,0
"RHOBTB2",0,0,0,0,0,0
"PLLP",0,0,0,0,0,0
"ZIC2",1,1,1,1,1,1
"AMACR",1,1,1,1,1,1
"PATE3",0,0,0,0,0,0
"TMEM171",0,0,0,0,0,0
"GPRC5B",0,0,0,0,0,0
"KCNQ1",0,0,0,0,0,0
"PYCR1",1,1,1,1,1,1
"PRR36",1,1,1,1,1,1
"GRAMD1B",0,0,0,0,0,0
"QPRT",0,0,0,0,0,0
"PDK4",0,0,0,0,0,0
"CGREF1",1,1,1,1,1,1
"ARHGEF40",0,0,0,0,0,0
"SLC19A1",1,1,1,1,1,1
"G0S2",0,0,0,0,0,0
"SLC28A3",0,0,0,0,0,0
"ST6GALNAC4",0,0,0,0,0,0
"PON3",0,0,0,0,0,0
"CAMK2G",2,2,2,2,2,2
"PJA1",2,2,2,2,2,2
"QSOX2",2,2,2,2,2,2
"SP6",0,0,0,0,0,0
"TRIM9",0,0,0,0,0,0
"MICALL1",2,2,2,2,2,2
"ULK3",1,1,1,1,1,1
"ONECUT2",1,1,1,1,1,1
"SLCO2A1",0,0,0,0,0,0
"LINC00675",0,0,0,0,0,0
"FAM167A",0,0,0,0,0,0
"ZIC5",1,1,1,1,1,1
"SBK1",1,1,1,1,1,1
"FCRLB",0,0,0,0,0,0
"PRPS2",0,0,0,0,0,0
"CHEK1",0,0,0,0,0,0
"HOXB7",0,0,0,0,0,0
"RASAL1",0,0,0,0,0,0
"ZNF185",0,0,0,0,0,0
"ARHGEF26",1,1,1,1,1,1
"MARCKSL1",1,1,1,1,1,1
"CDK18",0,0,0,0,0,0
"NFYB",2,2,2,2,2,2
"ANXA9",0,0,0,0,0,0
"LIPG",0,0,0,0,0,0
"ARHGEF38",1,1,1,1,1,1
"KCNJ16",0,0,0,0,0,0
"PDE7B",0,0,0,0,0,0
"AOX1",0,0,0,0,0,0
"TGFBR3",0,0,0,0,0,0
"ACKR4",0,0,0,0,0,0
"CA14",0,0,0,0,0,0
"CCDC27",0,0,0,0,0,0
"NAGS",0,0,0,0,0,0
"NPFFR2",0,0,0,0,0,0
"TRPM4",1,1,1,1,1,1
"TRIM36",1,1,1,1,1,1
"YPEL1",1,1,1,1,1,1
"LMX1B",1,1,1,1,1,1
"PAQR7",0,0,0,0,0,0
"KCNJ13",0,0,0,0,0,0
"UCN",1,1,1,1,1,1
"PAX8",0,0,0,0,0,0
"ADTRP",0,0,0,0,0,0
"AIF1L",0,0,0,0,0,0
