"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MFSD2A",596.694995862407,-6.01215492111401,0.223542187172975,-26.8949454111848,2.51652252607486e-159,4.60297135244353e-155
"SERPINA5",1152.87301246706,-6.81952623556904,0.258585615651838,-26.3724113902411,2.84037331533137e-153,2.59766341553631e-149
"ACSL6",285.900568559045,-5.07286191913552,0.194633185694482,-26.0637049177136,9.40842117965858e-150,5.73631439323784e-146
"MCF2",101.769609753953,-5.32286759841295,0.220448066822379,-24.1456760094963,8.2898959419285e-129,3.79076216684535e-125
"AKR1B1",2833.49841395962,-3.91123726629701,0.16575496760166,-23.5965010454253,4.18646981200698e-123,1.46536626903429e-119
"HOXB8",110.824468521578,-6.36689695149875,0.269890642240648,-23.590654713481,4.80684359204295e-123,1.46536626903429e-119
"EMX2",258.244733118827,-6.84578049440476,0.293571646936506,-23.3189429764155,2.84844257847307e-120,7.44298045755014e-117
"CLDN2",509.657122461393,-7.96230253254205,0.348863729560204,-22.8235321068767,2.67776565026059e-115,6.12237643861456e-112
"SPINK2",350.129623524798,-7.42945734065456,0.335799537822002,-22.1246800660956,1.82930914975056e-108,3.71776596200972e-105
"KLHL14",158.519603593197,-4.3118488362549,0.195072120944769,-22.1038701756656,2.90104561983372e-108,5.30630254323785e-105
"PATE2",64.6689889264445,-5.56187219560894,0.259799380822666,-21.4083350699183,1.11733607762712e-101,1.85792674507979e-98
"NDRG4",423.787058088543,-3.38542332964501,0.158313861208085,-21.3842509039386,1.87269764167129e-101,2.85445938031747e-98
"SPINK13",39.8927770369321,-5.63358334796953,0.267738236604558,-21.0413851208342,2.74249089222411e-98,3.85868468535932e-95
"RASL10B",220.408180942236,-3.53450411110597,0.16906000691324,-20.9068021209762,4.64330196396845e-97,6.06647401592478e-94
"CYSLTR2",106.082989626274,-3.83276500481297,0.187134435952898,-20.4813453242656,3.15814500802631e-93,3.85104202278728e-90
"CRTAC1",341.943523126407,-4.33349610863158,0.214329454952183,-20.218854704774,6.68163263167282e-91,7.32948659509554e-88
"CYP19A1",13.471163748119,-4.67571218807213,0.231265965423117,-20.2179001113181,6.8121629280315e-91,7.32948659509554e-88
"WNT9B",31.4794320170126,-4.92723636398282,0.245607513705905,-20.0614235681844,1.60424929997861e-89,1.6301846636616e-86
"SLC2A9",264.045019363644,-2.73269361335667,0.137819787251657,-19.8280208368542,1.70622422309865e-87,1.6425551191946e-84
"HOXB6",140.358876617164,-4.74953380451711,0.24693047355603,-19.2342959381213,1.91120941079643e-82,1.74789656664387e-79
"CA2",366.557290118408,-4.54106699144993,0.237974549278036,-19.08215397498,3.55309760619597e-81,3.09474801499669e-78
"TMEM114",78.0519848276523,-9.10218344458588,0.479470078545357,-18.9838403935457,2.3200160893886e-80,1.92888246777304e-77
"ANO1",2343.41412593948,-2.90557506850938,0.153844233471068,-18.886473694549,1.47367104241881e-79,1.17195291464707e-76
"ABCG2",824.589355851839,-2.88169092794486,0.15305180761488,-18.8282057745831,4.43535365375415e-79,3.38029390336738e-76
"PATE4",512.798535384377,-9.70123286579343,0.519052019327704,-18.6902901916437,5.93890982049092e-78,4.34514398106398e-75
"KCP",72.2047894702466,-3.54124680116506,0.19000468667883,-18.6376813280976,1.58984154522448e-77,1.11845352706542e-74
"ANXA13",103.397075104174,-5.54683052804324,0.297859266395549,-18.6223198464378,2.11835244574568e-77,1.43506609574571e-74
"PIP",4940.71835603943,-7.34880672620886,0.396368011019755,-18.540362798961,9.75613236998234e-77,6.37319347069096e-74
"MGAM",62.0925520256488,-4.77914374326546,0.25887457928998,-18.461232293929,4.23566745634865e-76,2.67153770496804e-73
"PAQR8",684.707068019794,-2.61775854857984,0.14288979560455,-18.3201224237491,5.71840628226005e-75,3.48651231029395e-72
"KCNJ5",428.231735942303,-3.15016221648146,0.172265484628381,-18.2866708515471,1.056751215261e-74,6.2351730575287e-72
"MRO",43.2533231755909,-3.17339659056075,0.174187506048524,-18.2182790404998,3.69597340041642e-74,2.11259529584427e-71
"EPHA10",582.22087781229,2.15882242183354,0.119108220048618,18.1248819011177,2.02777995465527e-73,1.12394312577574e-70
"KIRREL3",27.2083142113276,-3.10829889757968,0.172448810328655,-18.0244728372196,1.25199673674552e-72,6.73537420935656e-70
"ATP13A4",35.2753085863398,-4.35655518989459,0.24475183811385,-17.7998875247183,7.08109447758487e-71,3.70057997398585e-68
"C1ORF186",91.6434307973947,-3.42535432056311,0.19493162102645,-17.5720814433607,4.03107389688678e-69,2.04812146244323e-66
"WWC3",2677.92829886349,-1.41394930933948,0.0805382351211813,-17.5562489941826,5.32819336261378e-69,2.63399958906942e-66
"SLC16A12",58.0555364150915,-3.84203891100949,0.219309377358516,-17.518808166277,1.02959750812271e-68,4.95588632133485e-66
"NKX2-3",99.437892929345,4.26667505125547,0.245017416905705,17.4137622751019,6.4876792805485e-68,3.04272158257724e-65
"PTGES",1344.16418781534,-3.08681358925395,0.178925792311484,-17.2519207509237,1.08240387378512e-66,4.9495623138509e-64
"FRMD3",268.04185711826,-2.30479381792951,0.134309780027692,-17.1602828733269,5.26565501976207e-66,2.34912429186508e-63
"STAC2",575.608310668112,-4.47223222957409,0.261095522192437,-17.1287205235098,9.06258999485145e-66,3.94675794275781e-63
"HPN",13808.4221979516,2.47948494517891,0.14478615302473,17.1251524636849,9.63566981224344e-66,4.098745035715e-63
"LAPTM4A",16287.1791107676,-1.01072171868017,0.0592359231415013,-17.0626482221909,2.81499340159169e-65,1.17020555246622e-62
"PLA2G4A",598.142495919041,-2.35131530642594,0.138079535259934,-17.028702348973,5.03074577168135e-65,2.04483046466275e-62
"AQP2",1224.15247784259,-9.31366792286062,0.550634017111888,-16.914443411454,3.52127616444598e-64,1.40016657225829e-61
"GCNT4",127.866989486539,-2.47733788972995,0.148527642721503,-16.6793052413488,1.85362132571639e-62,7.21374205716563e-60
"CRISP1",166.402773230339,-8.84551072923197,0.531866291966705,-16.6310797710521,4.15046636178987e-62,1.56337432413477e-59
"ABHD6",460.053436392661,-1.37579702401167,0.0827271491114137,-16.6305383273731,4.18814399883023e-62,1.56337432413477e-59
"PNMT",109.1170707292,-4.69097923032087,0.282241121719092,-16.6204669317808,4.95452432372794e-62,1.81246408810616e-59
"SLC45A2",367.936789912041,5.03124650559397,0.306102791969854,16.4364606843882,1.04867171372854e-60,3.76103025800173e-58
"GSTM3",2659.49905439865,-2.33636912365038,0.142209305994624,-16.4290874448026,1.1842770888798e-60,4.16569466013469e-58
"PAEP",240.643254786158,-9.24634540594585,0.566305090044863,-16.3274983193482,6.29116500066323e-60,2.17116413258738e-57
"SLCO4C1",32.8383911794509,-4.92005507147754,0.303567615116347,-16.2074438328734,4.46768052937581e-59,1.51330267708913e-56
"SLC46A2",17.7970932403739,-4.26943493047786,0.263724338749262,-16.1890061066266,6.0294606060726e-59,2.0051793444668e-56
"FUT3",67.7201873364664,-4.13659560174482,0.255635981090609,-16.1815859570982,6.80195374700466e-59,2.2216881426154e-56
"EVA1A",53.2733413543279,-2.64239230079762,0.163534292170647,-16.1580318459464,9.96940696286863e-59,3.19913022382158e-56
"PRDM16",91.5078229713185,-2.63195666130731,0.163026292264992,-16.1443692593411,1.24413777087012e-58,3.92353861499748e-56
"FAM83A",51.7874841330104,-5.11432383189895,0.318048035881352,-16.0803503084888,3.50392005052732e-58,1.0862746041389e-55
"SNAP25",219.353532621298,-3.10798709309166,0.19420059839069,-16.0040036892113,1.19815884549967e-57,3.65258724050573e-55
"RAB11FIP2",1361.85681929364,-1.30968154253524,0.0820466525035124,-15.9626444537658,2.32660919004179e-57,6.9763948680417e-55
"SIM2",4330.56836861769,2.33461751443227,0.146410583324079,15.9456882243588,3.05258583523267e-57,9.00562056649046e-55
