"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL10A1",1,1,1,1,1,1
"CST1",1,1,1,1,1,1
"ESM1",1,1,1,1,1,1
"ASAH2",0,0,0,0,0,0
"ENPP7",0,0,0,0,0,0
"MTHFD1L",1,1,1,1,1,1
"HOXC10",1,1,1,1,1,1
"COL11A1",1,1,1,1,1,1
"SYNPO2L",0,0,0,0,0,0
"WNT2",1,1,1,1,1,1
"ACAN",1,1,1,1,1,1
"CTHRC1",1,1,1,1,1,1
"ECT2",1,1,1,1,1,1
"KIF14",1,1,1,1,1,1
"INHBA",1,1,1,1,1,1
"ALOX12",0,0,0,0,0,0
"CBR1",0,0,0,0,0,0
"FLG",0,0,0,0,0,0
"CLSPN",1,1,1,1,1,1
"NFE2L3",1,1,1,1,1,1
"MMP11",1,1,1,1,1,1
"SALL4",1,1,1,1,1,1
"STIL",1,1,1,1,1,1
"ADAM12",1,1,1,1,1,1
"S100G",0,0,0,0,0,0
"TREH",0,0,0,0,0,0
"ADAMTS12",1,1,1,1,1,1
"MS4A10",0,0,0,0,0,0
"CLEC3B",0,0,0,0,0,0
"HOXC9",1,1,1,1,1,1
"GABRD",1,1,1,1,1,1
"ENPP3",0,0,0,0,0,0
"KRT1",0,0,0,0,0,0
"SLC2A5",0,0,0,0,0,0
"XRCC2",1,1,1,1,1,1
"HOXC11",1,1,1,1,1,1
"GLTP",0,0,0,0,0,0
"SLC5A4",0,0,0,0,0,0
"ATAD2",1,1,1,1,1,1
"CA7",0,0,0,0,0,0
"BAAT",1,1,1,1,1,1
"HELLS",1,1,1,1,1,1
"IBSP",1,1,1,1,1,1
"KIF23",1,1,1,1,1,1
"PRAME",1,1,1,1,1,1
"EMP1",0,0,0,0,0,0
"MEP1B",0,0,0,0,0,0
"MTBP",1,1,1,1,1,1
"PCK2",0,0,0,0,0,0
"KIAA1524",1,1,1,1,1,1
"E2F3",1,1,1,1,1,1
"BEST4",0,0,0,0,0,0
"SLC28A1",0,0,0,0,0,0
"ALPP",1,1,1,1,1,1
"ZWILCH",1,1,1,1,1,1
"STRA6",1,1,1,1,1,1
"EXO1",1,1,1,1,1,1
"BTG2",0,0,0,0,0,0
"COL1A1",1,1,1,1,1,1
"KIF18B",1,1,1,1,1,1
"KHK",0,0,0,0,0,0
"ANLN",1,1,1,1,1,1
"FANCI",1,1,1,1,1,1
"CENPF",1,1,1,1,1,1
"DSCC1",1,1,1,1,1,1
"PIWIL1",1,1,1,1,1,1
"HADHB",0,0,0,0,0,0
"EME1",1,1,1,1,1,1
"SLC25A34",0,0,0,0,0,0
"ZNF695",1,1,1,1,1,1
"DTL",1,1,1,1,1,1
"HOXA11",1,1,1,1,1,1
"NAALADL1",0,0,0,0,0,0
"CSRNP1",0,0,0,0,0,0
"DMBX1",1,1,1,1,1,1
"TPX2",1,1,1,1,1,1
"CENPI",1,1,1,1,1,1
"BGN",1,1,1,1,1,1
"TRIP13",1,1,1,1,1,1
"KIF26B",1,1,1,1,1,1
"ADAMTS2",1,1,1,1,1,1
"TTC36",0,0,0,0,0,0
"CITED2",0,0,0,0,0,0
"MCM10",1,1,1,1,1,1
"SLC39A10",1,1,1,1,1,1
"KIF18A",1,1,1,1,1,1
"HOXC8",1,1,1,1,1,1
"ENC1",1,1,1,1,1,1
"DNA2",1,1,1,1,1,1
"IQGAP3",1,1,1,1,1,1
"ARHGAP11A",1,1,1,1,1,1
"C1ORF112",1,1,1,1,1,1
"RAD51AP1",1,1,1,1,1,1
"GPM6B",0,0,0,0,0,0
"AQP10",0,0,0,0,0,0
"PGM2L1",1,1,1,1,1,1
"AQP11",0,0,0,0,0,0
