"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL10A1",2674.21619796092,6.97247817897479,0.350681914585818,19.8826283562693,5.75392049896591e-88,1.09140364024385e-83
"CST1",4041.97228965584,7.11653495615916,0.384894965304941,18.4895506505806,2.506341916798e-76,2.37701467389122e-72
"ESM1",491.130439223645,4.71567549430259,0.258316036411893,18.2554500285971,1.87261439164876e-74,1.18399165935979e-70
"ASAH2",378.693450880987,-4.5071667216878,0.274730391563652,-16.4057813044813,1.73875409562924e-60,8.24517192147384e-57
"ENPP7",376.361365328707,-6.86332489924856,0.435670587260707,-15.7534731513595,6.50105956367863e-56,2.46624195607712e-52
"MTHFD1L",1871.70518460402,1.87002937993129,0.119618881704698,15.633229079568,4.32327692257491e-55,1.36673194445668e-51
"HOXC10",967.029833076183,6.5387666406311,0.419446767909925,15.589026167047,8.64412326130803e-55,2.34231042886415e-51
"COL11A1",1666.62718014909,5.93913582439677,0.382128363029884,15.5422533342083,1.79557309381269e-54,4.25730380542988e-51
"SYNPO2L",96.4380843951217,-4.80228240550493,0.319863044749991,-15.0135580972114,5.98492073212399e-51,1.26135529385475e-47
"WNT2",423.47349373528,4.45687172350463,0.299730885975615,14.869577784744,5.19398623794712e-50,9.85195309613809e-47
"ACAN",789.239066250328,3.57841325813237,0.242478844626092,14.7576307683681,2.74764694809853e-49,4.73794248286662e-46
"CTHRC1",2550.10643380142,3.47888409767398,0.237082022454163,14.6737574686692,9.49387492204108e-49,1.50066516267729e-45
"ECT2",6318.76754765014,2.38934325039005,0.163564454552006,14.607961472646,2.49883520361247e-48,3.64599278016317e-45
"KIF14",939.024581575835,2.5332264299395,0.174747020110739,14.4965357826083,1.27420221319279e-47,1.72636196998864e-44
"INHBA",3944.53831486159,3.41059410534335,0.235508859596549,14.4818080779893,1.57888596704779e-47,1.99655393486417e-44
"ALOX12",368.00267640545,-3.90743748679556,0.273270153873224,-14.2988080894056,2.22589199874554e-46,2.63879496451284e-43
"CBR1",3231.39314065295,-2.37282563725972,0.166663722592104,-14.2372053159224,5.38373655112465e-46,6.00698322951367e-43
"FLG",501.228778664725,-6.14499269033639,0.43258053650961,-14.2054303689179,8.478020840477e-46,8.93394996123154e-43
"CLSPN",968.942666216849,2.31508293634211,0.163032739097058,14.2001106597606,9.14678607543571e-46,9.1313809620455e-43
"NFE2L3",4327.85794465868,2.26418256594565,0.159736739742074,14.1744633676737,1.31847162246585e-45,1.25043848674661e-42
"MMP11",6097.4543786527,4.25022325275337,0.301815502245901,14.0821900171667,4.88714602327469e-45,4.41425646521307e-42
"SALL4",460.164049200196,4.94799330481813,0.353051679038279,14.0149264218105,1.26329141677998e-44,1.08918689061285e-41
"STIL",1857.09900464086,2.22544343033298,0.16044342996433,13.8705799971226,9.55014307253013e-44,7.87596146955441e-41
"ADAM12",1385.71160737096,3.6994775589757,0.268089062607377,13.7994348706186,2.56858310487117e-43,2.03003684721651e-40
"S100G",79.4236389552851,-5.72840780894421,0.419155939020467,-13.6665314162815,1.60883123535124e-42,1.22065243488569e-39
"TREH",223.573386805291,-4.04103526928838,0.296675441159495,-13.6210643304172,3.0016113622964e-42,2.18979093538608e-39
"ADAMTS12",1883.43703642932,3.09603060509602,0.227577728160399,13.6042776686562,3.77681389564637e-42,2.5585216418793e-39
"MS4A10",275.124157268261,-6.75966393105974,0.496815811552428,-13.6059758443224,3.69009930302148e-42,2.5585216418793e-39
"CLEC3B",455.023723926095,-3.42316395185578,0.252370265394317,-13.5640541745568,6.54180544951171e-42,4.27879192297717e-39
"HOXC9",219.340078899037,4.33811405640484,0.321032139216771,13.513021054492,1.31031993889557e-41,8.28471620032373e-39
"GABRD",157.68813949381,2.98915478917048,0.221566145884645,13.4910266965005,1.76623692183982e-41,1.08070909462767e-38
"ENPP3",172.650606096619,-4.45058730693923,0.330685003546858,-13.458691078226,2.73722083537806e-41,1.62248765017035e-38
"KRT1",175.742401957898,-6.07445284072958,0.456862113844664,-13.2960310269784,2.44085283428724e-40,1.40297262305335e-37
"SLC2A5",678.37121514819,-3.38213550602748,0.254981135541731,-13.2642577610372,3.73096609488157e-40,2.08144014375628e-37
"XRCC2",555.778251947181,2.18087584512484,0.164786964851207,13.2345167416248,5.5452257118436e-40,3.00519546577855e-37
