"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS6KA5",0,0,0,0,0,0
"LYVE1",0,0,0,0,0,0
"CDHR3",0,0,0,0,0,0
"TAPT1",2,2,2,2,2,2
"RRH",2,2,2,2,2,2
"P4HA2",1,1,1,1,1,1
"MMRN1",0,0,0,0,0,0
"STAB2",0,0,0,0,0,0
"ZMAT3",1,1,1,1,1,1
"PLXND1",1,1,1,1,1,1
"CDR2",2,2,2,2,2,2
"TGFA",1,1,1,1,1,1
"RASSF9",0,0,0,0,0,0
"STK32A",1,1,1,1,1,1
"ABCA9",0,0,0,0,0,0
"UNC5B",1,1,1,1,1,1
"CCND1",1,1,1,1,1,1
"HDAC4",0,0,0,0,0,0
"MPZL2",1,1,1,1,1,1
"ULBP2",1,1,1,1,1,1
"PLA2R1",0,0,0,0,0,0
"NOL4L",2,2,2,2,2,2
"RNF24",2,2,2,2,2,2
"SRF",0,0,0,0,0,0
"MLF1",0,0,0,0,0,0
"ETV5",1,1,1,1,1,1
"PBX4",0,0,0,0,0,0
"SPATS2",2,2,2,2,2,2
"PLSCR4",0,0,0,0,0,0
"SERINC2",1,1,1,1,1,1
"SRCIN1",1,1,1,1,1,1
"TNFRSF10C",1,1,1,1,1,1
"ADK",2,2,2,2,2,2
"CFD",0,0,0,0,0,0
"UGT2B11",0,0,0,0,0,0
"ABR",1,1,1,1,1,1
"ADORA1",1,1,1,1,1,1
"EDIL3",1,1,1,1,1,1
"PTCHD4",1,1,1,1,1,1
"EPS8",1,1,1,1,1,1
"C8ORF88",0,0,0,0,0,0
"GALNT7",1,1,1,1,1,1
"NRCAM",1,1,1,1,1,1
"MAFB",0,0,0,0,0,0
"ECE1",1,1,1,1,1,1
"GDF15",1,1,1,1,1,1
"TBC1D4",0,0,0,0,0,0
"TMEM41A",2,2,2,2,2,2
"PAPSS2",0,0,0,0,0,0
"KCNIP4",0,0,0,0,0,0
"SHROOM4",1,1,1,1,1,1
"PID1",0,0,0,0,0,0
"PTP4A3",1,1,1,1,1,1
"KIAA1211L",2,2,2,2,2,2
"SPINT1",1,1,1,1,1,1
"IGSF10",0,0,0,0,0,0
"ENTPD1",1,1,1,1,1,1
"SEMA3F",1,1,1,1,1,1
"LMOD1",0,0,0,0,0,0
"PPP5C",2,2,2,2,2,2
"FAM19A5",1,1,1,1,1,1
"TPPP",0,0,0,0,0,0
"CCND2",1,1,1,1,1,1
"DNAJB4",0,0,0,0,0,0
"BMP1",1,1,1,1,1,1
"GPR182",0,0,0,0,0,0
"DRAXIN",1,1,1,1,1,1
"DLG4",1,1,1,1,1,1
"LRP4",1,1,1,1,1,1
"KLHDC8A",1,1,1,1,1,1
"TMEM215",1,1,1,1,1,1
"TUSC3",1,1,1,1,1,1
"ING3",2,2,2,2,2,2
