"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS6KA5",417.55609772492,-1.53699845339787,0.0807786643049771,-19.0272823476628,1.01375588284334e-80,1.84503570677487e-76
"LYVE1",388.418980390384,-2.85540727152391,0.161981563625044,-17.6279769599806,1.50247597074912e-69,1.3672531333817e-65
"CDHR3",167.696569680312,-1.8944720147658,0.115458617348866,-16.4082340345504,1.66992456787504e-60,7.79014314977516e-57
"TAPT1",1937.22765942766,-0.626057056954297,0.0381585779701424,-16.4067187578154,1.71211937357696e-60,7.79014314977516e-57
"RRH",7.01983728063094,-0.885641796467545,0.0540321164550998,-16.3910254598949,2.2167327429975e-60,8.06890718451091e-57
"P4HA2",5232.09789153501,1.44468388510812,0.0884506221843385,16.3332246787058,5.72753172549833e-60,1.73735129006783e-56
"MMRN1",605.836051295335,-2.92540547586885,0.183825032095553,-15.9140756975264,5.06088822509885e-57,1.3158309385257e-53
"STAB2",54.2855723186387,-3.43425223104932,0.217956356489497,-15.7566050670095,6.18684028768594e-56,1.40750616544855e-52
"ZMAT3",5811.47700358111,1.38532617434249,0.0888717048473573,15.5879329278298,8.79330996419865e-55,1.77820268164906e-51
"PLXND1",11049.7681394565,1.1808692714468,0.0764541172041876,15.4454634312634,8.09437441299919e-54,1.47317614316585e-50
"CDR2",3279.91483843909,-0.770206602853415,0.0501504990270851,-15.3579050616714,3.13543719844894e-53,5.18772336470643e-50
"TGFA",5489.44607101863,1.84673395940045,0.122249053903158,15.1063251652105,1.47118728279045e-51,2.08997740088044e-48
"RASSF9",231.044651050982,-2.22869307182359,0.147543174303961,-15.1053620903678,1.49284100062889e-51,2.08997740088044e-48
"STK32A",3994.51323572288,1.92894880341197,0.128211188400344,15.0450894924143,3.71830430287974e-51,4.83379559374366e-48
"ABCA9",145.895163016918,-2.58100515512039,0.171713593739873,-15.0308726228765,4.60894030623804e-51,5.59218090490216e-48
