"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSRP1",0,0,0,0,0,0
"ASF1B",1,1,1,1,1,1
"CDC20",1,1,1,1,1,1
"PRAME",1,1,1,1,1,1
"NCAPH",1,1,1,1,1,1
"CCNB2",1,1,1,1,1,1
"PKMYT1",1,1,1,1,1,1
"BUB1",1,1,1,1,1,1
"MELK",1,1,1,1,1,1
"ZWINT",1,1,1,1,1,1
"CDCA8",1,1,1,1,1,1
"PLK1",1,1,1,1,1,1
"MYBL2",1,1,1,1,1,1
"CDC45",1,1,1,1,1,1
"NEK2",1,1,1,1,1,1
"SPAG5",1,1,1,1,1,1
"CCNB1",1,1,1,1,1,1
"OTX1",1,1,1,1,1,1
"TK1",1,1,1,1,1,1
"DIXDC1",0,0,0,0,0,0
"POC1A",1,1,1,1,1,1
"CDC6",1,1,1,1,1,1
"TFAP2A",1,1,1,1,1,1
"C16ORF59",1,1,1,1,1,1
"SKA3",1,1,1,1,1,1
"KIFC1",1,1,1,1,1,1
"ESPL1",1,1,1,1,1,1
"CDC25C",1,1,1,1,1,1
"TPX2",1,1,1,1,1,1
"KIF18B",1,1,1,1,1,1
"TROAP",1,1,1,1,1,1
"ECE2",1,1,1,1,1,1
"SKA1",1,1,1,1,1,1
"MKI67",1,1,1,1,1,1
"STAT5B",0,0,0,0,0,0
"AURKB",1,1,1,1,1,1
"SGO1",1,1,1,1,1,1
"HJURP",1,1,1,1,1,1
"PPP1R12B",0,0,0,0,0,0
"CEP55",1,1,1,1,1,1
"FOXM1",1,1,1,1,1,1
"TNS1",0,0,0,0,0,0
"CBX7",0,0,0,0,0,0
"TCEAL1",0,0,0,0,0,0
"CFL2",0,0,0,0,0,0
"IQGAP3",1,1,1,1,1,1
"ORC6",1,1,1,1,1,1
"KIF2C",1,1,1,1,1,1
"GTSE1",1,1,1,1,1,1
"MTFR2",1,1,1,1,1,1
"JPT1",1,1,1,1,1,1
"BIRC5",1,1,1,1,1,1
"LYVE1",0,0,0,0,0,0
"UBE2T",1,1,1,1,1,1
"MCM10",1,1,1,1,1,1
"TBC1D7",1,1,1,1,1,1
"STIL",1,1,1,1,1,1
"CDCA2",1,1,1,1,1,1
"CENPF",1,1,1,1,1,1
"CENPA",1,1,1,1,1,1
"MYLK",0,0,0,0,0,0
"CDCA5",1,1,1,1,1,1
"GPRASP1",0,0,0,0,0,0
"UBE2C",1,1,1,1,1,1
"DPP3",1,1,1,1,1,1
"CDT1",1,1,1,1,1,1
"TACC3",1,1,1,1,1,1
"KIF20A",1,1,1,1,1,1
"DLGAP5",1,1,1,1,1,1
"KIF4A",1,1,1,1,1,1
"RCC2",1,1,1,1,1,1
"EXO1",1,1,1,1,1,1
"AURKA",1,1,1,1,1,1
"RAD54L",1,1,1,1,1,1
"AUNIP",1,1,1,1,1,1
"RNFT2",1,1,1,1,1,1
"CDCA3",1,1,1,1,1,1
"NCAPG",1,1,1,1,1,1
"FAM110A",1,1,1,1,1,1
"SHCBP1",1,1,1,1,1,1
"FAM83D",1,1,1,1,1,1
"CAV1",0,0,0,0,0,0
"PTTG1",1,1,1,1,1,1
"SAPCD2",1,1,1,1,1,1
"ERCC6L",1,1,1,1,1,1
"FBXL22",0,0,0,0,0,0
"LPP",0,0,0,0,0,0
"CKS2",1,1,1,1,1,1
"KIF14",1,1,1,1,1,1
"BUB1B",1,1,1,1,1,1
"TTK",1,1,1,1,1,1
"EZH2",1,1,1,1,1,1
"UHRF1",1,1,1,1,1,1
"SYNPO2",0,0,0,0,0,0
"TOP2A",1,1,1,1,1,1
"LMNB1",1,1,1,1,1,1
"SLMAP",0,0,0,0,0,0
"RRM2",1,1,1,1,1,1
"SYTL4",0,0,0,0,0,0
"CALD1",0,0,0,0,0,0
"E2F2",1,1,1,1,1,1
"POLQ",1,1,1,1,1,1
"GSTM5",0,0,0,0,0,0
"ZNF695",1,1,1,1,1,1
"SPC24",1,1,1,1,1,1
"SORBS1",0,0,0,0,0,0
"SYNM",0,0,0,0,0,0
"PCLAF",1,1,1,1,1,1
"KNL1",1,1,1,1,1,1
"KLF9",0,0,0,0,0,0
"RAD51",1,1,1,1,1,1
"CENPU",1,1,1,1,1,1
"KPNA2",1,1,1,1,1,1
"JCAD",0,0,0,0,0,0
"TACC1",0,0,0,0,0,0
"GMIP",1,1,1,1,1,1
"ORC1",1,1,1,1,1,1
"MAP3K20",0,0,0,0,0,0
"KIF11",1,1,1,1,1,1
"SPARCL1",0,0,0,0,0,0
"SAP30L",0,0,0,0,0,0
"NUP210",1,1,1,1,1,1
"ASPM",1,1,1,1,1,1
"TPM1",0,0,0,0,0,0
"PKD2",0,0,0,0,0,0
"BLM",1,1,1,1,1,1
"DEPDC1",1,1,1,1,1,1
"NUSAP1",1,1,1,1,1,1
"EZH1",0,0,0,0,0,0
"DIAPH3",1,1,1,1,1,1
"DSTN",0,0,0,0,0,0
"SPC25",1,1,1,1,1,1
"DEPDC1B",1,1,1,1,1,1
"RERG",0,0,0,0,0,0
"SDC1",1,1,1,1,1,1
"GINS1",1,1,1,1,1,1
"PBK",1,1,1,1,1,1
"ABCC9",0,0,0,0,0,0
"HASPIN",1,1,1,1,1,1
"CACNB2",0,0,0,0,0,0
"KIF18A",1,1,1,1,1,1
"KANK2",0,0,0,0,0,0
"CIT",1,1,1,1,1,1
"GPRASP2",0,0,0,0,0,0
"TICRR",1,1,1,1,1,1
"TCEAL4",0,0,0,0,0,0
"RECQL4",1,1,1,1,1,1
"MEF2C",0,0,0,0,0,0
"DBNDD1",1,1,1,1,1,1
"NEXN",0,0,0,0,0,0
"MSRB3",0,0,0,0,0,0
"FHL1",0,0,0,0,0,0
"ANTXR2",0,0,0,0,0,0
"CCNA2",1,1,1,1,1,1
"PDE2A",0,0,0,0,0,0
"FERMT2",0,0,0,0,0,0
"PLSCR4",0,0,0,0,0,0
"EME1",1,1,1,1,1,1
"NUF2",1,1,1,1,1,1
"CNRIP1",0,0,0,0,0,0
"ANLN",1,1,1,1,1,1
"CAVIN1",0,0,0,0,0,0
"WFIKKN2",0,0,0,0,0,0
"OIP5",1,1,1,1,1,1
"KLHL4",0,0,0,0,0,0
"LMOD1",0,0,0,0,0,0
"MYCT1",0,0,0,0,0,0
"FANCA",1,1,1,1,1,1
"MND1",1,1,1,1,1,1
"TEF",0,0,0,0,0,0
"CDC25A",1,1,1,1,1,1
"MRVI1",0,0,0,0,0,0
"SBK1",1,1,1,1,1,1
"ARHGAP11A",1,1,1,1,1,1
"TACR2",0,0,0,0,0,0
"PAFAH1B3",1,1,1,1,1,1
"HMGB3",1,1,1,1,1,1
"FYCO1",0,0,0,0,0,0
"EHBP1",0,0,0,0,0,0
"ZCCHC24",0,0,0,0,0,0
"CCNE1",1,1,1,1,1,1
"FLAD1",1,1,1,1,1,1
"MRGPRF",0,0,0,0,0,0
"H2AFY",1,1,1,1,1,1
"CAMK2A",0,0,0,0,0,0
