"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSRP1",10108.9083902024,-2.93043253413658,0.124979640340023,-23.4472793021645,1.40914955166894e-121,2.61749529222505e-117
"ASF1B",1455.25719792109,3.7121932472023,0.158530121362402,23.4163275426767,2.91409139872176e-121,2.70646238656283e-117
"CDC20",2686.18295890551,4.26517623191799,0.182957816611834,23.3123476815808,3.32286637067522e-120,2.05740809450974e-116
"PRAME",7474.60910902236,4.34803722286946,0.187628027326584,23.1737085595496,8.38612532067079e-119,3.8943069457865e-115
"NCAPH",604.435846675016,3.6877346818986,0.16157105491486,22.8242285342623,2.63545847677527e-115,9.79072824122011e-112
"CCNB2",1109.13331460046,3.54761478519468,0.156528419382465,22.6643493826278,1.00725330750597e-113,3.11828836448725e-110
"PKMYT1",800.146347036163,4.00150890284565,0.177815853577845,22.5036678244993,3.82119409639659e-112,1.01398114772238e-108
"BUB1",947.307598319658,3.69541337630609,0.165465960156837,22.3333752320017,1.75184076509333e-110,4.06755527645108e-107
"MELK",658.979865716226,3.83442225493412,0.172743185307371,22.1972418078972,3.65181550326296e-109,7.5369414414566e-106
"ZWINT",1615.10553523969,3.25577996035505,0.146712024289002,22.1916368214075,4.13660539925985e-109,7.68374452912517e-106
"CDCA8",909.740027724108,3.5686523777538,0.161654580243373,22.0757888355601,5.40135215908319e-108,9.12091966863366e-105
"PLK1",1368.76922432123,3.71406846834001,0.168697615855401,22.0161289743627,2.01782099625182e-107,3.12341875044813e-104
"MYBL2",3080.83914967908,4.49810973661054,0.20588733944902,21.8474324290558,8.22278546817739e-106,1.17490953901073e-102
"CDC45",529.103558407936,3.73878772484198,0.171782383114799,21.7646749163063,5.01642765356544e-105,6.65572454749843e-102
"NEK2",675.731341828935,3.69902938967989,0.170619503415194,21.6799915346049,3.16937910192153e-104,3.92474778787949e-101
"SPAG5",1303.86034225095,3.1665714726718,0.146265306836369,21.6495048700396,6.14367367377048e-104,7.13242115564291e-101
"CCNB1",2417.90473809024,3.07211015763512,0.142120510052999,21.6162336913193,1.26379656456507e-103,1.3808835992233e-100
"OTX1",184.71626306019,5.96756128300696,0.276218681862457,21.6044810682954,1.63009819993554e-103,1.59363547704224e-100
"TK1",2829.23789713921,3.52973679426087,0.163364929486048,21.6064537558064,1.5619397911726e-103,1.59363547704224e-100
"DIXDC1",444.211060315328,-2.92916952261521,0.135978113969301,-21.5414777945553,6.36437887423635e-103,5.91091687944701e-100
"POC1A",669.559618342602,3.25256154602759,0.151112959091462,21.5240411251491,9.2718466695876e-103,8.20116913750427e-100
"CDC6",791.218692436935,3.2971220588496,0.153226228957943,21.5180004185484,1.05620166498546e-102,8.91770269413862e-100
