genes,log2FoldChange_0,log2FoldChange_1,log2FoldChange_2
FOXO1,0,0,1
DPY19L3,0,0,1
EXOC3L1,0,0,1
RBFOX2,0,0,1
FAT1,0,0,1
RNF151,0,1,0
FOXP4,0,1,0
DNASE1L2,0,1,0
GJB7,0,1,0
MORF4L2,0,0,1
ERVV-1,0,1,0
PRR27,0,1,0
ZNF568,1,0,0
MLX,0,0,1
RAG2,0,1,0
ITPA,0,0,1
FOXP3,0,1,0
FCAMR,0,0,1
STRIP2,0,1,0
TMEM255A,1,0,0
FAM149A,0,0,1
MGST1,0,0,1
HIP1R,0,0,1
PDLIM5,0,0,1
GUF1,0,0,1
POLR3C,0,0,1
PCDHGA6,0,0,1
LRRC8E,0,1,0
C2ORF66,0,1,0
EXOC6B,0,0,1
BCAR3,1,0,0
SLC28A3,0,1,0
SLC30A1,0,0,1
FAM118B,0,0,1
CCDC68,1,0,0
MEMO1,0,0,1
STOX1,0,1,0
IGSF5,1,0,0
TSKS,0,0,1
ADORA2A,1,0,0
FRMD4B,1,0,0
NFIL3,0,0,1
CEACAM7,1,0,0
ANAPC2,0,0,1
CANX,0,0,1
BEST2,1,0,0
GSR,0,0,1
RPP25,0,0,1
SLC16A2,0,0,1
SLC35F6,0,0,1
SMIM8,0,0,1
MIGA1,0,0,1
RNF182,0,1,0
CFLAR,0,0,1
DYRK3,0,0,1
MEGF8,0,0,1
HIST1H1C,1,0,0
FAM177A1,0,0,1
UNC13B,0,0,1
NLGN4Y,1,0,0
CCDC66,0,0,1
GOLGA7B,0,1,0
TRIM65,0,0,1
FAM161A,0,0,1
SOX17,1,0,0
CLEC9A,1,0,0
MTRF1L,0,0,1
KLHL6,1,0,0
FAM212B,0,0,1
ESF1,0,0,1
IPO11,0,0,1
ZNF439,1,0,0
CCDC130,0,0,1
IDO2,0,0,1
PROZ,0,1,0
ZGRF1,0,1,0
ACTG2,1,0,0
HSD17B2,1,0,0
ERN2,0,0,1
DNAH7,0,0,1
TYRO3,0,1,0
VPS26B,0,0,1
KLHL38,1,0,0
TUBA3D,0,0,1
EEF2K,0,0,1
VGF,0,1,0
MRPS10,0,0,1
SNRPB,0,1,0
ZBED3,0,0,1
AL031708.1,0,1,0
HEPACAM2,1,0,0
TRIM31,0,0,1
SDC4,0,0,1
GHRHR,0,1,0
COQ10B,0,0,1
PSMD3,0,0,1
RARG,0,0,1
F5,0,1,0
CCDC149,0,0,1
PRH2,0,0,1
INSIG2,0,0,1
ANKFN1,0,1,0
COL4A6,1,0,0
RPL37A,0,0,1
SLC25A48,0,0,1
TTC7A,0,0,1
CNOT4,0,0,1
HRG,0,1,0
MCHR2,1,0,0
ANP32B,0,0,1
LPIN3,0,0,1
SUMO2,0,0,1
PALM,1,0,0
LRRTM3,1,0,0
TIMM23B,0,0,1
GOLT1A,0,1,0
TEX19,0,1,0
MGARP,0,0,1
DARS2,0,0,1
ANKS6,0,1,0
AMOT,0,0,1
NMUR2,0,1,0
CALML5,0,1,0
FRAT1,0,0,1
FAM216B,1,0,0
GADD45GIP1,0,0,1
ABCA8,1,0,0
CAB39,0,0,1
GUCA1A,0,1,0
APOO,0,0,1
COPS7B,0,0,1
RC3H1,0,0,1
SPNS3,0,1,0
TMEM232,0,0,1
CXCL3,0,1,0
RFX8,0,1,0
TMEM253,1,0,0
ZNF286A,0,0,1
MYMK,0,1,0
URGCP-MRPS24,0,0,1
NBL1,0,0,1
USP8,0,0,1
LGI4,1,0,0
HSPB8,1,0,0
HFM1,0,0,1
POP1,0,1,0
TYSND1,0,0,1
CLCN3,0,0,1
NTSR2,0,1,0
ENO3,0,0,1
SIN3A,0,0,1
MAGEA6,0,1,0
RHEB,0,0,1
PLAC1,0,1,0
PLEKHG6,0,0,1
GRWD1,0,0,1
P2RY14,1,0,0
PHPT1,0,0,1
HPN,0,1,0
FAM126B,1,0,0
ZNF518B,0,0,1
GSG1L,1,0,0
CDKL1,1,0,0
MPPED2,1,0,0
PGR,1,0,0
PAAF1,0,0,1
FCAR,0,1,0
ASCL4,1,0,0
TMEM25,1,0,0
EPB41L4A,1,0,0
NIT1,0,0,1
PTPN9,0,0,1
MRGPRF,1,0,0
METTL12,0,0,1
RNF214,0,0,1
HCST,0,0,1
EFS,1,0,0
TNFRSF11B,0,1,0
TRAPPC10,0,0,1
GFRA3,1,0,0
HHEX,0,0,1
BNIP1,0,0,1
ZNF468,0,0,1
TMEM132D,1,0,0
AQP6,0,1,0
SERPINB2,0,1,0
RNF166,0,0,1
PHF7,0,0,1
CETP,0,0,1
METRN,0,0,1
UNC50,0,0,1
CACNG6,1,0,0
AKAP11,0,0,1
LRRC19,1,0,0
7-Mar,0,0,1
SEPHS2,0,0,1
GIT2,0,0,1
G6PD,0,0,1
LONRF3,0,0,1
CHD5,1,0,0
ANAPC11,0,1,0
GRAMD4,1,0,0
NDE1,0,0,1
ATP6V1H,0,0,1
TNFAIP8,0,0,1
PPIH,0,0,1
TLN2,0,0,1
PEX10,0,0,1
RBBP6,0,0,1
ZP1,0,0,1
SIPA1L2,1,0,0
ZFPL1,0,0,1
MAGEC2,0,1,0
CCP110,0,0,1
GAS2L2,0,0,1
IRS2,0,0,1
RFX6,1,0,0
ZNF135,1,0,0
YARS2,0,0,1
RDM1,0,1,0
VSNL1,0,1,0
SNRNP48,0,0,1
GCLC,0,0,1
ZNF136,0,0,1
FOLR1,0,1,0
AAAS,0,0,1
MUT,0,0,1
TMX1,0,0,1
PIK3R5,1,0,0
ARGLU1,0,0,1
CD300A,0,0,1
SLAIN2,0,0,1
FAM214A,1,0,0
KBTBD13,1,0,0
PRDM6,1,0,0
ACSL4,0,0,1
TWISTNB,0,0,1
STK32B,1,0,0
CYP4F8,0,1,0
WNT5B,0,0,1
ABCC2,0,1,0
MANBA,0,0,1
TK1,0,0,1
ADD1,0,0,1
TMEM150A,0,0,1
SAR1B,0,0,1
NCOR1,0,0,1
KCNK9,0,1,0
CARMIL3,0,1,0
UBR2,0,0,1
MCM7,0,1,0
SELPLG,0,0,1
WASHC3,0,0,1
HTR2C,0,1,0
KIF22,0,0,1
BAAT,0,1,0
CABLES2,0,0,1
THRSP,1,0,0
PTPRH,1,0,0
NKAPL,1,0,0
CCL18,0,0,1
EEFSEC,0,0,1
DNAJB12,0,0,1
MUC7,0,1,0
TMEM196,1,0,0
ACADS,1,0,0
ZNF785,0,0,1
SLC17A8,1,0,0
SHOC2,0,0,1
LRRC49,0,0,1
GID8,0,0,1
ST6GALNAC6,1,0,0
OR2B6,0,1,0
TNFSF11,0,1,0
CKMT1A,1,0,0
GGACT,0,0,1
ACER2,0,0,1
GPRIN1,0,0,1
RNF115,0,0,1
AC068896.1,0,0,1
SHH,0,1,0
RUNX1,0,1,0
VRK2,0,0,1
POLB,0,1,0
ZNF592,0,0,1
CAMK2G,0,0,1
VRK1,0,0,1
ZNF425,0,0,1
FBXL20,0,0,1
PDCD10,0,0,1
FXYD4,0,1,0
NXPH2,1,0,0
TAPBPL,0,0,1
KCTD14,0,1,0
CCNO,0,1,0
CYB5R3,0,0,1
NTNG2,0,0,1
C16ORF54,1,0,0
THBS1,0,0,1
CAMKK1,0,0,1
TNPO1,0,0,1
CCDC121,0,0,1
CCDC136,1,0,0
GYG2,0,0,1
SIK2,0,0,1
IMMP1L,0,0,1
SYNDIG1,0,0,1
SLITRK5,1,0,0
ZDHHC11B,0,0,1
FAM221A,0,0,1
CDC42BPA,0,0,1
B3GALNT2,0,0,1
FBLN2,1,0,0
ACP6,0,0,1
CYFIP1,0,0,1
CARD14,0,1,0
UIMC1,0,0,1
OSBPL6,0,0,1
TFAP2A,0,1,0
TRIB2,0,0,1
CDC14B,0,0,1
CA10,1,0,0
AP1G2,0,0,1
KCNK10,1,0,0
ARAF,0,0,1
NIPA2,0,0,1
EXOC2,0,0,1
BET1,0,0,1
PER2,0,0,1
RSU1,0,0,1
ZNF215,0,0,1
ELOB,0,0,1
STARD8,0,0,1
NEPRO,0,0,1
TOX4,0,0,1
ACAP1,0,0,1
MAP3K21,0,0,1
LNP1,0,0,1
P2RX7,0,0,1
MRPL51,0,0,1
TICAM1,0,0,1
PPM1N,0,1,0
PAH,0,1,0
MCUB,0,0,1
SLC38A3,0,1,0
CDKN2C,0,0,1
ELMSAN1,1,0,0
TATDN1,0,0,1
SPRYD3,0,0,1
DMGDH,1,0,0
KPNB1,0,0,1
LINC00694,1,0,0
PDLIM2,1,0,0
C4ORF19,1,0,0
IK,0,0,1
MCOLN2,1,0,0
RALYL,1,0,0
GATAD2A,0,0,1
PANX2,0,1,0
OSBPL1A,1,0,0
ZNF676,1,0,0
PLEKHG5,0,0,1
MUC21,0,1,0
SCARF1,0,0,1
GALNT11,0,0,1
SHISA7,1,0,0
ARL4D,1,0,0
LCOR,0,0,1
OR2C1,1,0,0
ZFP2,0,0,1
TANGO6,0,0,1
TCF24,0,1,0
DCAF12L2,1,0,0
CRK,0,0,1
SPRED2,0,0,1
SGCA,1,0,0
FAM107B,1,0,0
EFNA2,0,0,1
TBC1D29,0,1,0
DTD2,0,0,1
CYTH2,0,0,1
ZNF566,0,0,1
OR1J1,0,1,0
CREBBP,0,0,1
GSTA4,0,0,1
RFC4,0,1,0
ZNF469,0,1,0
PPFIA1,0,0,1
CRYL1,0,0,1
AKAP5,1,0,0
CENPN,0,1,0
TRAPPC2,0,0,1
RPLP1,0,0,1
ZNF624,0,0,1
KRT6A,0,1,0
NUDT18,0,0,1
TDRD12,0,0,1
MLXIP,0,0,1
ASB7,0,0,1
GP1BA,1,0,0
LBP,0,1,0
TMEM170A,0,0,1
C17ORF107,0,0,1
PDZK1IP1,0,1,0
CACNA1D,0,1,0
GNG3,1,0,0
ADPGK,0,0,1
